category,year_week,weekly_quantity
Toiletries,2025-W25,205984.0
Toiletries,2025-W26,392117.0
Unknown,2025-W05,4584.0
Unknown,2025-W06,118956.0
Unknown,2025-W07,50714.0
Unknown,2025-W08,99167.0
Unknown,2025-W09,42327.0
Unknown,2025-W10,305594.0
Unknown,2025-W11,318860.0
Unknown,2025-W12,456436.0
Unknown,2025-W13,391380.0
Unknown,2025-W14,150551.0
Unknown,2025-W15,29749.0
Unknown,2025-W16,18351.0
Unknown,2025-W17,20214.0
Unknown,2025-W18,61061.0
Unknown,2025-W19,61924.0
Unknown,2025-W20,119088.0
Unknown,2025-W21,209377.0
Unknown,2025-W22,55331.0
Unknown,2025-W23,25723.0
Unknown,2025-W24,109871.0
Unknown,2025-W25,97324.0
Unknown,2025-W26,156056.0
Vehicles & Parts,2025-W03,14568.0
Vehicles & Parts,2025-W04,13716.0
Vehicles & Parts,2025-W05,24230.0
Vehicles & Parts,2025-W06,397.0
Vehicles & Parts,2025-W07,190.0
Vehicles & Parts,2025-W08,69.0
Vehicles & Parts,2025-W09,115.0
Vehicles & Parts,2025-W19,1.0
Vehicles & Parts,2025-W20,10.0
Vehicles & Parts,2025-W21,23.0
Vehicles & Parts,2025-W22,2.0
Vehicles & Parts,2025-W23,79.0
Vehicles & Parts,2025-W24,125.0
Vehicles & Parts,2025-W25,240.0
Vehicles & Parts,2025-W26,410.0
