master_customer_id,mean_qty,std_qty,n_weeks
1.0,27050.3,36063.34584817812,50
2.0,19522.571428571428,35771.2967166647,49
3.0,19473.30612244898,29538.700023023524,49
4.0,20172.51111111111,33493.97497014963,45
5.0,18328.755102040817,24965.391548877727,49
6.0,18293.408163265307,32836.56783089952,49
7.0,18535.354166666668,31445.891128602114,48
8.0,16456.18,32387.176643958006,50
9.0,15884.42857142857,33199.18937326131,49
10.0,20599.313725490196,32138.118394511028,51
11.0,14368.166666666666,25000.795633580474,48
12.0,14627.04255319149,22746.25302345082,47
13.0,13814.285714285714,25511.234221417042,49
14.0,13289.530612244898,26073.36357608888,49
15.0,13308.020833333334,27240.10507797522,48
16.0,12793.020408163266,27894.23683867467,49
17.0,13541.54347826087,28588.080972248652,46
18.0,12744.468085106382,23814.00654789298,47
19.0,12689.826086956522,24256.221415275293,46
20.0,11276.38,18927.975801830842,50
21.0,11691.41304347826,23928.714331972777,46
22.0,10846.816326530612,21195.342061674648,49
23.0,11023.787234042553,18987.70168102658,47
24.0,11007.511111111111,18939.412107634922,45
25.0,13538.2,5219.514400446711,35
26.0,10448.111111111111,21482.860157706084,45
27.0,10664.826086956522,8235.685783505685,46
28.0,9310.708333333334,22558.276247861286,48
29.0,9239.27659574468,15829.811461293293,47
30.0,8165.705882352941,6086.573329202953,51
31.0,7557.304347826087,12400.920365251686,46
32.0,9893.685714285713,5537.592855529688,35
33.0,7510.363636363636,11352.97199095832,44
34.0,7125.630434782609,8527.031533394114,46
35.0,7136.955555555555,10394.63832279008,45
36.0,7755.5609756097565,13298.646688758936,41
37.0,6788.45652173913,11213.755996208945,46
38.0,7028.25,9406.148175219549,44
39.0,6864.288888888889,10876.172038456409,45
40.0,7290.770833333333,6597.882552789782,48
41.0,7338.86,13136.79239110289,50
42.0,8308.895833333334,7749.608331186215,48
43.0,6461.510638297872,8783.88589573158,47
44.0,6795.302325581395,10541.977533232792,43
45.0,6215.851063829788,10657.814938341935,47
46.0,11556.977777777778,16458.394150773707,45
47.0,6436.311111111111,11359.97779651764,45
48.0,20599.313725490196,32138.118394511028,51
49.0,5854.702127659574,8993.169385983752,47
50.0,8422.093023255815,9105.944902236628,43
51.0,6784.0,4574.23737794002,40
52.0,5567.851063829788,10244.181930923403,47
53.0,9716.104166666666,11598.89996295427,48
54.0,5495.533333333334,8613.284181478577,45
55.0,5994.731707317073,10393.614118833713,41
56.0,6363.434782608696,6195.492833601515,46
57.0,5472.916666666667,9110.506475944514,48
58.0,4997.1875,6380.227154150848,48
59.0,5012.489361702128,9510.210236034744,47
60.0,11556.977777777778,16458.394150773707,45
61.0,5195.522727272727,8885.353583386372,44
62.0,5073.25,10455.690490528157,44
63.0,5364.886363636364,7937.292160885323,44
64.0,6362.883720930233,4687.23807501513,43
65.0,9716.104166666666,11598.89996295427,48
66.0,4490.127659574468,5278.891437549716,47
67.0,5203.155555555555,11086.004204638051,45
68.0,4737.636363636364,10116.248985622688,44
69.0,5343.666666666667,8743.868430094717,39
70.0,4603.382978723404,7609.220512421788,47
71.0,4962.025,6691.716170538862,40
72.0,4569.0,6748.780630602836,43
73.0,4197.217391304348,7087.701238101089,46
74.0,4380.659090909091,7461.842904553877,44
75.0,5958.183673469388,4287.0986628170685,49
76.0,4515.851063829788,7890.132208014293,47
77.0,4097.086956521739,2871.3025292526654,46
78.0,4441.25,8784.755375809875,40
79.0,4084.6279069767443,7058.588389240901,43
80.0,3892.431818181818,4855.432801812578,44
81.0,3558.56,2627.0058781970074,50
82.0,3449.2916666666665,3705.4973993986764,48
83.0,3768.3023255813955,5149.561306025813,43
84.0,3759.4651162790697,5847.800320465796,43
85.0,4368.3,4042.8383986932645,40
86.0,4243.026315789473,4429.1100349834915,38
87.0,4600.847826086957,6191.432546376363,46
88.0,3627.1041666666665,3770.951323278446,48
89.0,4302.418604651163,3351.7265574381363,43
90.0,4925.340425531915,5221.521077219931,47
91.0,3963.7948717948716,5624.171359687656,39
92.0,3697.717391304348,3838.561719435164,46
93.0,3570.0,4234.036979391789,43
94.0,4034.315789473684,8106.87706095051,38
95.0,3639.5476190476193,3639.1115721096658,42
96.0,3956.2127659574467,3157.0219796247043,47
97.0,3687.390243902439,3900.8550401037,41
98.0,3274.148936170213,2894.4423205344788,47
99.0,4922.536585365854,3425.9931924739794,41
100.0,4107.888888888889,6517.840460844057,36
101.0,3288.6938775510203,2607.348670936961,49
102.0,3339.7441860465115,2350.098671616671,43
103.0,3848.0810810810813,6073.9443407356275,37
104.0,3051.063829787234,2362.3907971472213,47
105.0,3499.525,5431.162358414775,40
106.0,4213.909090909091,6158.017611027698,33
107.0,3439.45,2363.2592004936632,40
108.0,3600.657894736842,4608.46828206812,38
109.0,3106.9545454545455,2486.8661511427968,44
110.0,4544.108695652174,4313.81269478642,46
111.0,3246.125,3563.0988582137675,48
112.0,3755.6285714285714,2230.8259362808194,35
113.0,3838.4583333333335,2435.068350286573,48
114.0,3995.8863636363635,4129.983632018408,44
115.0,3336.439024390244,3287.295917990808,41
116.0,3359.4473684210525,5884.723662011339,38
117.0,2806.782608695652,1891.3834902648316,46
118.0,3148.7021276595747,2803.409693452458,47
119.0,2772.5454545454545,2353.7437419007615,44
120.0,3244.7027027027025,2716.3850555969175,37
121.0,3367.057142857143,5054.943555528571,35
122.0,2571.6521739130435,2117.1552739717226,46
123.0,3241.972222222222,5705.767115001709,36
124.0,3231.4324324324325,2185.486133824953,37
125.0,3208.1388888888887,6101.921974276526,36
126.0,2681.860465116279,1725.0421607186652,43
127.0,2384.2708333333335,1639.1630420065426,48
128.0,2770.0731707317073,2468.3154922967597,41
129.0,3069.2162162162163,2398.1532957110417,37
130.0,3349.7948717948716,4357.323008329813,39
131.0,4651.673469387755,5361.459679150489,49
132.0,3060.3333333333335,3851.7378267107283,36
133.0,6411.68,8507.19828562967,50
134.0,3256.875,2287.062444490749,40
135.0,2694.5,1628.276940471674,40
136.0,3232.6744186046512,4478.228761893905,43
137.0,2451.3255813953488,2616.252169666065,43
138.0,2512.7872340425533,1782.545248357579,47
139.0,2280.695652173913,1922.208381229664,46
140.0,2585.65,2274.9713162463368,40
141.0,2522.0227272727275,2598.825919961196,44
142.0,3105.4848484848485,4755.328531771044,33
143.0,8308.895833333334,7749.608331186215,48
144.0,2532.525,1749.4245059227555,40
145.0,5912.479166666667,4113.810419765294,48
146.0,2241.822222222222,3279.544953806916,45
147.0,2408.425531914894,2323.1919547175576,47
148.0,2770.1944444444443,3149.266742950487,36
149.0,2931.0882352941176,1730.44855575074,34
150.0,2070.0,1685.7722266071416,48
151.0,5370.666666666667,4572.954749705834,36
152.0,2133.081632653061,1921.7358671777135,49
153.0,2878.323529411765,3924.8832425837127,34
154.0,2441.7073170731705,3520.046926135378,41
155.0,2481.3333333333335,3771.154369778802,39
156.0,2825.029411764706,3224.468971881089,34
157.0,3545.2727272727275,5444.279183651905,33
158.0,5370.666666666667,4572.954749705834,36
159.0,2167.4883720930234,1820.9229785768512,43
160.0,2444.3947368421054,2286.6971524446735,38
161.0,3875.0227272727275,2990.6628610240687,44
162.0,3080.8958333333335,3124.925648406275,48
163.0,2405.7631578947367,2839.3060289749574,38
164.0,2684.735294117647,3824.838434368125,34
165.0,8422.093023255815,9105.944902236628,43
166.0,2147.782608695652,2021.6532498927536,46
167.0,2410.8536585365855,2287.100681659813,41
168.0,3032.0,1933.5769961395383,30
169.0,2521.9444444444443,2870.917831778784,36
170.0,2539.7297297297296,3932.3634937715447,37
171.0,2769.875,1884.568210150452,32
172.0,2323.657894736842,2975.0122895618592,38
173.0,3194.720930232558,4673.330189824268,43
174.0,2299.8684210526317,1857.1467096430429,38
175.0,1894.0652173913043,1988.9735421085243,46
176.0,2176.625,1386.4056957489495,40
177.0,2123.243902439024,2035.4068976556973,41
178.0,1892.0434782608695,1840.9758397415424,46
