sku,mean_qty,std_qty,n_weeks,min_qty,max_qty,cv,range_ratio,pattern
10001,904.0909090909091,1095.8006620316905,11,80.0,3020.0,1.2120469866614978,37.75,bulk_oneoff
10002,2001.7142857142858,786.9299457358312,35,100.0,3955.0,0.39312800600562503,39.55,cyclical
10003,139.42857142857142,64.8234188411264,35,30.0,280.0,0.4649220613605377,9.333333333333334,cyclical
10004,181.74285714285713,61.6166244073898,35,35.0,320.0,0.33903189030948644,9.142857142857142,cyclical
10005,145.77142857142857,67.47247182208099,35,35.0,321.0,0.46286485961835255,9.17142857142857,cyclical
10006,2152.6111111111113,1551.9263065642936,54,48.0,5695.0,0.7209506160001363,118.64583333333333,bulk_oneoff
10007,124.11764705882354,80.81470189749358,34,20.0,365.0,0.6511137119703274,18.25,cyclical
10008,652.6285714285714,604.00516581908,35,55.0,2393.0,0.925496051294449,43.50909090909091,bulk_oneoff
10009,1790.4285714285713,1148.84134177502,35,470.0,5040.0,0.6416571764481881,10.72340425531915,cyclical
10010,96.57142857142857,54.76918719084863,35,10.0,220.0,0.5671365537513912,22.0,cyclical
10011,747.3513513513514,1924.4517143594173,37,8.0,11362.0,2.5750294167256778,1420.25,bulk_oneoff
10012,1499.1707317073171,4739.237390669722,41,1.0,24230.0,3.16123927077504,24230.0,bulk_oneoff
10013,894.219512195122,3048.9370484825954,41,3.0,16695.0,3.4096069330874834,5565.0,bulk_oneoff
10014,461.275,1088.8623088178335,40,1.0,5875.0,2.3605491492446666,5875.0,bulk_oneoff
10015,1.0,,1,1.0,1.0,,1.0,insufficient_data
10016,98.18181818181819,141.3915995226888,22,1.0,614.0,1.4400996247681266,614.0,bulk_oneoff
10017,5196.833333333333,6296.340855343417,6,1.0,14062.0,1.2115725965190502,14062.0,insufficient_data
10019,1044.0,544.8721382662391,35,168.0,2100.0,0.5219081784159378,12.5,cyclical
10020,1998.0961538461538,1116.248272679258,52,41.0,4675.0,0.5586559338150876,114.02439024390245,cyclical
10021,354.4,758.8917650832108,10,5.0,2290.0,2.141342452266396,458.0,bulk_oneoff
10022,77.8,184.6003491028359,10,5.0,600.0,2.3727551298565026,120.0,bulk_oneoff
10023,519.6279069767442,374.5886647698865,43,5.0,1356.0,0.7208786513204941,271.2,bulk_oneoff
10024,5827.754716981132,4249.15062963113,53,773.0,23778.0,0.7291231076094871,30.760672703751617,bulk_oneoff
10025,10289.127272727274,11596.394069253925,55,100.0,70328.0,1.1270532244257236,703.28,bulk_oneoff
10026,8851.127272727274,8270.892562462528,55,100.0,38447.0,0.9344451059863746,384.47,bulk_oneoff
10027,4141.407407407408,6731.623005168789,54,285.0,46532.0,1.6254433198550975,163.27017543859648,bulk_oneoff
10028,7143.351851851852,11291.85362920094,54,262.0,74696.0,1.5807500265122212,285.09923664122135,bulk_oneoff
10029,1904.5185185185185,1876.6350228759336,54,28.0,10001.0,0.985359294030769,357.17857142857144,bulk_oneoff
10030,1338.8684210526317,742.3431919614361,38,3.0,2770.0,0.554455673379613,923.3333333333334,cyclical
10031,920.8888888888889,515.4371806335737,27,336.0,2016.0,0.5597170156493922,6.0,cyclical
10032,6847.388888888889,5505.901096428067,54,793.0,27671.0,0.8040876874048113,34.89407313997478,bulk_oneoff
10033,943.76,863.32089146079,50,6.0,3693.0,0.9147674106348966,615.5,bulk_oneoff
10034,325.9655172413793,567.738463602905,29,2.0,2750.0,1.74171325975714,1375.0,bulk_oneoff
10035,573.9166666666666,851.1480184288525,24,3.0,2922.0,1.4830515785024294,974.0,bulk_oneoff
10036,711.475,749.835708073818,40,3.0,3148.0,1.053917155309488,1049.3333333333333,bulk_oneoff
10037,366.0740740740741,575.8578835045172,27,1.0,2400.0,1.5730638258419631,2400.0,bulk_oneoff
10038,164.85714285714286,216.4983473182518,28,2.0,804.0,1.3132482073030871,402.0,bulk_oneoff
10040,8250.78947368421,14288.223746921984,19,1.0,59081.0,1.7317401919530362,59081.0,bulk_oneoff
10041,13.8,16.46815108019112,5,2.0,38.0,1.1933442811732695,19.0,insufficient_data
10042,62.7,57.76013619559197,10,10.0,195.0,0.9212142933906214,19.5,bulk_oneoff
10044,2448.222222222222,2436.2105949390093,54,11.0,10809.0,0.9950937348847728,982.6363636363636,bulk_oneoff
10045,24.333333333333332,17.71628252954515,6,4.0,46.0,0.7280664053237733,11.5,insufficient_data
10046,5653.740740740741,4219.183705299355,54,300.0,23620.0,0.7462640928856187,78.73333333333333,bulk_oneoff
10047,5048.415094339623,4022.2625590100324,53,100.0,24398.0,0.7967376857580251,243.98,bulk_oneoff
10048,10635.170212765957,13634.01367475628,47,8.0,65504.0,1.2819741858377265,8188.0,bulk_oneoff
10051,18845.73469387755,16298.729447893975,49,601.0,76059.0,0.8648497770261497,126.5540765391015,bulk_oneoff
10052,1164.2830188679245,1103.5973237441847,53,10.0,4203.0,0.9478771964030303,420.3,bulk_oneoff
10053,1318.1509433962265,1410.2045732149647,53,4.0,7812.0,1.0698354238411887,1953.0,bulk_oneoff
10054,1437.1764705882354,1674.5846972414665,51,10.0,10204.0,1.1651907274519044,1020.4,bulk_oneoff
10055,816.0416666666666,1569.1279724648437,48,4.0,10584.0,1.9228527617644242,2646.0,bulk_oneoff
10057,5138.970370370371,5986.094119396665,54,123.0,38143.0,1.1648430887849701,310.1056910569106,bulk_oneoff
10058,5550.877777777779,11274.7142221854,54,48.0,76468.0,2.0311587956993504,1593.0833333333333,bulk_oneoff
10059,1458.6,1452.2195136579928,54,10.0,7016.0,0.9956256092540744,701.6,bulk_oneoff
