sku,year_week,weekly_quantity,category,description
10006,2025-W25,2933.0,Toiletries,PLAYGIRL ROLL-ON DESIRE 6x50ML
10006,2025-W26,5246.0,Toiletries,PLAYGIRL ROLL-ON DESIRE 6x50ML
10007,2025-W05,55.0,Hardware,CABLE GPW 1.5mm GREEN/YELLOW 100M COIL
10007,2025-W06,40.0,Hardware,CABLE GPW 1.5mm GREEN/YELLOW 100M COIL
10007,2025-W07,40.0,Hardware,CABLE GPW 1.5mm GREEN/YELLOW 100M COIL
10007,2025-W08,190.0,Hardware,CABLE GPW 1.5mm GREEN/YELLOW 100M COIL
10007,2025-W09,145.0,Hardware,CABLE GPW 1.5mm GREEN/YELLOW 100M COIL
10007,2025-W23,30.0,Hardware,CABLE GPW 1.5mm GREEN/YELLOW 100M COIL
10007,2025-W24,215.0,Hardware,CABLE GPW 1.5mm GREEN/YELLOW 100M COIL
10007,2025-W25,230.0,Hardware,CABLE GPW 1.5mm GREEN/YELLOW 100M COIL
10007,2025-W26,90.0,Hardware,CABLE GPW 1.5mm GREEN/YELLOW 100M COIL
10008,2025-W05,150.0,Hardware,DOOR FRAME LIGHT DUTY
10008,2025-W06,1558.0,Hardware,DOOR FRAME LIGHT DUTY
10008,2025-W07,65.0,Hardware,DOOR FRAME LIGHT DUTY
10008,2025-W08,260.0,Hardware,DOOR FRAME LIGHT DUTY
10008,2025-W09,500.0,Hardware,DOOR FRAME LIGHT DUTY
10008,2025-W23,140.0,Hardware,DOOR FRAME LIGHT DUTY
10008,2025-W24,630.0,Hardware,DOOR FRAME LIGHT DUTY
10008,2025-W25,160.0,Hardware,DOOR FRAME LIGHT DUTY
10008,2025-W26,668.0,Hardware,DOOR FRAME LIGHT DUTY
10009,2025-W05,900.0,Hardware,DOOR FRAME HEAVY DUTY
10009,2025-W06,3940.0,Hardware,DOOR FRAME HEAVY DUTY
10009,2025-W07,750.0,Hardware,DOOR FRAME HEAVY DUTY
10009,2025-W08,1030.0,Hardware,DOOR FRAME HEAVY DUTY
10009,2025-W09,530.0,Hardware,DOOR FRAME HEAVY DUTY
10009,2025-W23,730.0,Hardware,DOOR FRAME HEAVY DUTY
10009,2025-W24,830.0,Hardware,DOOR FRAME HEAVY DUTY
10009,2025-W25,1530.0,Hardware,DOOR FRAME HEAVY DUTY
10009,2025-W26,2061.0,Hardware,DOOR FRAME HEAVY DUTY
10010,2025-W05,50.0,Hardware,DOOR FRAME STABLE DOOR HEAVY DUTY
10010,2025-W06,80.0,Hardware,DOOR FRAME STABLE DOOR HEAVY DUTY
10010,2025-W07,45.0,Hardware,DOOR FRAME STABLE DOOR HEAVY DUTY
10010,2025-W08,80.0,Hardware,DOOR FRAME STABLE DOOR HEAVY DUTY
10010,2025-W09,50.0,Hardware,DOOR FRAME STABLE DOOR HEAVY DUTY
10010,2025-W23,65.0,Hardware,DOOR FRAME STABLE DOOR HEAVY DUTY
10010,2025-W24,80.0,Hardware,DOOR FRAME STABLE DOOR HEAVY DUTY
10010,2025-W25,40.0,Hardware,DOOR FRAME STABLE DOOR HEAVY DUTY
10010,2025-W26,220.0,Hardware,DOOR FRAME STABLE DOOR HEAVY DUTY
10011,2025-W02,8.0,Hardware,DOOR COMBI LIGHT DUTY GREY
10011,2025-W04,8.0,Hardware,DOOR COMBI LIGHT DUTY GREY
10011,2025-W05,10.0,Hardware,DOOR COMBI LIGHT DUTY GREY
10011,2025-W06,915.0,Hardware,DOOR COMBI LIGHT DUTY GREY
10011,2025-W07,210.0,Hardware,DOOR COMBI LIGHT DUTY GREY
10011,2025-W08,110.0,Hardware,DOOR COMBI LIGHT DUTY GREY
10011,2025-W09,110.0,Hardware,DOOR COMBI LIGHT DUTY GREY
10011,2025-W23,90.0,Hardware,DOOR COMBI LIGHT DUTY GREY
10011,2025-W24,190.0,Hardware,DOOR COMBI LIGHT DUTY GREY
10011,2025-W25,50.0,Hardware,DOOR COMBI LIGHT DUTY GREY
10011,2025-W26,365.0,Hardware,DOOR COMBI LIGHT DUTY GREY
10012,2025-W03,14568.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W04,13716.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W05,24230.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W06,397.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W07,190.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W08,69.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W09,115.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W19,1.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W20,10.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W21,23.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W22,2.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W23,79.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W24,125.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W25,240.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10012,2025-W26,410.0,Vehicles & Parts,DOOR COMBI HEAVY DUTY GREY
10013,2025-W03,8294.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W04,7520.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W05,16695.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W06,110.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W07,130.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W08,90.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W09,60.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W18,4.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W20,12.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W21,30.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W22,3.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W23,90.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W24,70.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W25,140.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10013,2025-W26,130.0,Hardware,CABLE GPW 2.5mm GREEN / YELLOW 100M COIL
10014,2025-W03,1620.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10014,2025-W04,4000.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10014,2025-W05,5875.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10014,2025-W06,210.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10014,2025-W07,140.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10014,2025-W08,180.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10014,2025-W09,170.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10014,2025-W20,4.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10014,2025-W21,18.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10014,2025-W22,1.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10014,2025-W23,100.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10014,2025-W24,210.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10014,2025-W25,312.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10014,2025-W26,157.0,Hardware,CABLE GPW 1.5mm BLACK 100M COIL
10016,2025-W04,48.0,Home & Garden,MPL MEDITATED HAIR OIL 6x125g
10016,2025-W09,16.0,Home & Garden,MPL MEDITATED HAIR OIL 6x125g
10016,2025-W11,16.0,Home & Garden,MPL MEDITATED HAIR OIL 6x125g
10016,2025-W15,19.0,Home & Garden,MPL MEDITATED HAIR OIL 6x125g
10016,2025-W16,7.0,Home & Garden,MPL MEDITATED HAIR OIL 6x125g
10016,2025-W17,311.0,Home & Garden,MPL MEDITATED HAIR OIL 6x125g
10016,2025-W18,9.0,Home & Garden,MPL MEDITATED HAIR OIL 6x125g
10017,2025-W03,11426.0,Home & Garden,LIL MASTERS DIAPERS BASIC PLUS XLARGE 100's (S4)
10017,2025-W04,5654.0,Home & Garden,LIL MASTERS DIAPERS BASIC PLUS XLARGE 100's (S4)
10017,2025-W05,14062.0,Home & Garden,LIL MASTERS DIAPERS BASIC PLUS XLARGE 100's (S4)
10017,2025-W20,8.0,Home & Garden,LIL MASTERS DIAPERS BASIC PLUS XLARGE 100's (S4)
10017,2025-W21,30.0,Home & Garden,LIL MASTERS DIAPERS BASIC PLUS XLARGE 100's (S4)
10017,2025-W22,1.0,Home & Garden,LIL MASTERS DIAPERS BASIC PLUS XLARGE 100's (S4)
10019,2025-W05,168.0,Hardware,TIMBER 152mm x 38mm x 6.0M
10019,2025-W06,1512.0,Hardware,TIMBER 152mm x 38mm x 6.0M
10019,2025-W07,1008.0,Hardware,TIMBER 152mm x 38mm x 6.0M
10019,2025-W08,420.0,Hardware,TIMBER 152mm x 38mm x 6.0M
10019,2025-W09,168.0,Hardware,TIMBER 152mm x 38mm x 6.0M
10019,2025-W23,840.0,Hardware,TIMBER 152mm x 38mm x 6.0M
10019,2025-W24,168.0,Hardware,TIMBER 152mm x 38mm x 6.0M
10019,2025-W25,1260.0,Hardware,TIMBER 152mm x 38mm x 6.0M
10019,2025-W26,1680.0,Hardware,TIMBER 152mm x 38mm x 6.0M
10020,2025-W01,720.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W02,3992.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W03,3620.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W04,2432.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W05,2340.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W06,600.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W07,357.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W08,44.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W09,41.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W10,3600.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W11,2127.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W12,647.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W13,552.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W14,1825.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
