customer_id,year_week,weekly_quantity,customer_name
0,2025-W14,5977.0,SOUTHERN ELAND (PTY) LTD
0,2025-W15,150.0,SOUTHERN ELAND (PTY) LTD
0,2025-W16,1169.0,SOUTHERN ELAND (PTY) LTD
0,2025-W17,856.0,SOUTHERN ELAND (PTY) LTD
1,2025-W05,697.0,PAPATA HARDWARE CC
1,2025-W06,2494.0,PAPATA HARDWARE CC
1,2025-W09,120.0,PAPATA HARDWARE CC
1,2025-W25,120.0,PAPATA HARDWARE CC
10,2025-W02,4100.0,KIMPERS DIAPERS
10,2025-W04,7300.0,KIMPERS DIAPERS
10,2025-W05,1800.0,KIMPERS DIAPERS
10,2025-W06,2724.0,KIMPERS DIAPERS
10,2025-W07,1190.0,KIMPERS DIAPERS
10,2025-W08,11275.0,KIMPERS DIAPERS
10,2025-W09,169.0,KIMPERS DIAPERS
10,2025-W10,679.0,KIMPERS DIAPERS
10,2025-W11,1801.0,KIMPERS DIAPERS
10,2025-W12,3032.0,KIMPERS DIAPERS
10,2025-W13,11414.0,KIMPERS DIAPERS
10,2025-W14,6361.0,KIMPERS DIAPERS
10,2025-W15,2676.0,KIMPERS DIAPERS
10,2025-W16,5758.0,KIMPERS DIAPERS
10,2025-W18,4988.0,KIMPERS DIAPERS
10,2025-W19,7236.0,KIMPERS DIAPERS
10,2025-W20,1016.0,KIMPERS DIAPERS
10,2025-W21,7414.0,KIMPERS DIAPERS
10,2025-W22,259.0,KIMPERS DIAPERS
10,2025-W24,240.0,KIMPERS DIAPERS
10,2025-W25,1100.0,KIMPERS DIAPERS
10,2025-W26,7071.0,KIMPERS DIAPERS
100,2025-W04,4776.0,TBI (PTY) LTD
100,2025-W05,10.0,TBI (PTY) LTD
100,2025-W06,2624.0,TBI (PTY) LTD
100,2025-W07,379.0,TBI (PTY) LTD
100,2025-W08,1316.0,TBI (PTY) LTD
100,2025-W12,719.0,TBI (PTY) LTD
100,2025-W13,3984.0,TBI (PTY) LTD
100,2025-W14,2672.0,TBI (PTY) LTD
100,2025-W16,1845.0,TBI (PTY) LTD
100,2025-W18,168.0,TBI (PTY) LTD
100,2025-W20,1447.0,TBI (PTY) LTD
100,2025-W22,929.0,TBI (PTY) LTD
100,2025-W24,699.0,TBI (PTY) LTD
101,2025-W02,36.0,WOZA WOZA SUPERMARKET
101,2025-W04,48.0,WOZA WOZA SUPERMARKET
101,2025-W05,28.0,WOZA WOZA SUPERMARKET
101,2025-W15,15.0,WOZA WOZA SUPERMARKET
101,2025-W16,12.0,WOZA WOZA SUPERMARKET
101,2025-W22,57.0,WOZA WOZA SUPERMARKET
101,2025-W25,60.0,WOZA WOZA SUPERMARKET
102,2025-W02,422.0,MYKA TRADING NEW TOWN
102,2025-W03,976.0,MYKA TRADING NEW TOWN
102,2025-W04,3564.0,MYKA TRADING NEW TOWN
102,2025-W05,3962.0,MYKA TRADING NEW TOWN
102,2025-W06,4727.0,MYKA TRADING NEW TOWN
102,2025-W07,8552.0,MYKA TRADING NEW TOWN
102,2025-W08,7204.0,MYKA TRADING NEW TOWN
102,2025-W09,4268.0,MYKA TRADING NEW TOWN
102,2025-W13,3537.0,MYKA TRADING NEW TOWN
102,2025-W15,259.0,MYKA TRADING NEW TOWN
102,2025-W17,1096.0,MYKA TRADING NEW TOWN
102,2025-W19,1422.0,MYKA TRADING NEW TOWN
102,2025-W22,554.0,MYKA TRADING NEW TOWN
102,2025-W23,9243.0,MYKA TRADING NEW TOWN
102,2025-W24,2949.0,MYKA TRADING NEW TOWN
102,2025-W25,12856.0,MYKA TRADING NEW TOWN
102,2025-W26,6643.0,MYKA TRADING NEW TOWN
103,2025-W03,572.0,DRINKWORLD
103,2025-W11,577.0,DRINKWORLD
103,2025-W15,93.0,DRINKWORLD
103,2025-W22,240.0,DRINKWORLD
103,2025-W24,146.0,DRINKWORLD
104,2025-W02,360.0,GREEN SUPERMARKET
104,2025-W04,434.0,GREEN SUPERMARKET
104,2025-W05,148.0,GREEN SUPERMARKET
104,2025-W06,5917.0,GREEN SUPERMARKET
104,2025-W07,11384.0,GREEN SUPERMARKET
104,2025-W08,10770.0,GREEN SUPERMARKET
104,2025-W09,3297.0,GREEN SUPERMARKET
104,2025-W13,718.0,GREEN SUPERMARKET
104,2025-W18,335.0,GREEN SUPERMARKET
104,2025-W22,576.0,GREEN SUPERMARKET
104,2025-W23,10227.0,GREEN SUPERMARKET
