master_customer_id,customer_name,original_ids,num_ids,total_volume
174,AL MUBARAK CASH STORE,HB_AL 002,1,87395.0
175,V7 SUPERMARKET,471,1,87127.0
176,SHAMIKA SUPERMARKET,HB_SHA002,1,87065.0
177,SARFARAAZ TRADING POLOKWANE,482,1,87053.0
178,BARQADLE GENERAL DEALER,733,1,87034.0
179,SOMSOUTH EXPORT AND IMPORTS PTY LTD,55,1,86566.0
180,AT AWALO RABASOTHO,168,1,86519.0
181,NEW BLUE STAR CASH AND CARRY,451,1,86229.0
182,BARAKA CASH N CARRY,459,1,86051.0
183,B CRON TRADING PTY LTD T/A U-CHOICE CC POLOKWANE,497,1,85905.0
184,PATEL CASH N CARRY,496,1,85884.0
185,TSHABETHE TRADING & PRJ,846,1,85696.0
186,MESUM CASH & CARRY,410,1,85332.0
187,KB SUPERSTORE,177,1,85167.0
188,NORANI TRADING CHISTY SUPERMARKET,423,1,84581.0
189,SULTAN M TRADING,431,1,83983.0
190,JUE GENERAL TRADING,564,1,83190.0
191,NKATEKO DISTRIBUTORS,342,1,82653.0
192,Y&M SUPERMARKET,"480, 641",2,81125.0
193,SERIFATU IMPORT AND EXPORT,691,1,80362.0
194,Cash & Carry DF Scott,HB_DFS001,1,80313.0
195,THREE BROTHERS WHOLESALERS,364,1,79138.0
196,AFRICAN SAVE CASH & CARRY,842,1,78287.0
197,BAYVIEW EXPORTS (PTY) LTD,369,1,78189.0
198,SAAS DIAPERS,611,1,78072.0
199,MANCO AFRICA LOGISTICS & COMMODITIE,49,1,77874.0
200,S AKBAR TRADING,792,1,77842.0
201,SUPA NEW ERA TRADING,546,1,77588.0
202,ZUKA FACTORY SHOP (PTY) LTD,"371, 460",2,77263.0
203,KURA SUPER MARKET,624,1,76669.0
204,ALL IN ONE STOTE,HB_ALL001,1,76610.0
205,MAHARIBA GENERAL DEALER,398,1,76152.0
206,DANKAAR WINKEL SHOP,HB_DAN002,1,74707.0
207,BISMILLAH WATLOO CASH & CARRY,481,1,74487.0
208,CAMHILL DISTRIBUTORS,943,1,74160.0
209,VANDERBIJL PARK CASH AND CARRY,222,1,74115.0
210,SUNNY CASH & CARRY,857,1,73845.0
211,SAIFUL MINIMARKET,HB_SAI001,1,73491.0
212,SUNRISE CASH STORE,HB_SUN002,1,73461.0
213,MZANZI DISCOUNT WHOLESALERS,409,1,73336.0
214,PAPATO CASH & CARRY,139,1,72936.0
215,KING HARDWARE & STEEL EVATON,154,1,72712.0
216,A B C CASH & CARRY,972,1,72237.0
217,AFRICAN QUALITY TRADING,636,1,72211.0
218,SAID TRADING,106,1,72205.0
219,JOWHAR GENERAL DEALER,336,1,71961.0
220,USAVE MORE CASH & CARRY,20,1,71564.0
221,AZHER TRADING,227,1,71510.0
222,RIRHANDZU DISTRIBUTORS,784,1,70849.0
223,JZH CAPITAL INVESTMENT,719,1,70222.0
224,RAMADHAAN SHOP(Ladismith),HB_RAM005,1,70190.0
225,KANAAF CASH AND CARRY,501,1,70087.0
226,FOOD HYPER MOKOPANE,454,1,69717.0
227,CONTACTS TRADING CC,633,1,69667.0
228,Plate C$carry,HB_PLA001,1,69592.0
229,RAMADHAN CASH STORE,HB_RAM003,1,69382.0
230,GLOBAL FOOD CASH AND CARRY (PTY) LTD,21,1,69348.0
231,FOZERA ENTERPRISE,645,1,69347.0
232,BIG ZAAD CASH & CARRY,89,1,69253.0
233,TIC & TAC SUPERMARKET,638,1,69172.0
234,A1 CASH AND CARRY,389,1,69024.0
235,SK WHOLESALERS,553,1,68544.0
236,All Nation Shop,HB_ALL007,1,67809.0
237,People's Cash Store,HB_PEO003,1,67374.0
238,MAMA FAMEFA TRADING,394,1,67015.0
239,Madina SupermRket,HB_MAD003,1,66591.0
240,GEEDGALE TRADING PTY (LTD),75,1,66492.0
241,LUCKY WHOLESALE,572,1,66070.0
242,ONE STOP SWEET WHOLESALER,132,1,65993.0
243,MABHOKO STEEL & GLASS,84,1,65963.0
244,Sunshine Superstore,HB_SUN005,1,65660.0
245,EJABA FIVE STAR DISTRIBUTORS,666,1,65633.0
246,EAST AND SOUTH CASH AND CARRY,847,1,65371.0
247,WIPE IT CC,378,1,64483.0
248,Spaza Rama Shop,HB_SPA001,1,64153.0
249,SAYMAY WHOLESALERS TZANEEN,502,1,63833.0
250,MALANDZA TRADING & INVESTMENT,413,1,63831.0
251,Econofoods,HB_ECO001,1,63505.0
252,HILAAL SUPPLIERS,890,1,63475.0
253,EVAGOLD CASH AND CARRY,74,1,62309.0
254,RAINBOW BARGAIN STORE,358,1,62290.0
255,TRIPLE CREST TRADING,"971, 898",2,61953.0
256,TBI (PTY) LTD,100,1,61718.0
257,KAFF DISTRIBUTOR,195,1,61415.0
258,ZCW TRADING (PTY) LTD - MEAT & CHICKEN GROBLERSDAL,433,1,61243.0
259,SABSE GENRAL TRADING CC,627,1,61197.0
260,DJ GENERAL DEALER,553,1,61100.0
261,MD MUTHI SHOP,678,1,60753.0
262,RUBY HARDWARE,25,1,60474.0
263,EASY SUPERMARKET & DELI,975,1,59836.0
264,BATHUSENG IMPORTS &  EXPORTS,864,1,59818.0
265,ASHFIR TRADING CC,755,1,59328.0
266,MANTELA TRADING 220 CC,426,1,59124.0
267,DAYSTAR DISTROBUTION,645,1,58986.0
268,KTA TRADING & PROJECTS,730,1,58894.0
269,AFROHEALTH,329,1,58716.0
270,RECHARGE CASH N CARRY,634,1,58572.0
271,AHFAN TRADING T/A KISMET CASH AND CARRY,710,1,58483.0
272,CTX SUPPLIERS (PTY) LTD,506,1,58305.0
273,Z AND K DISTRIBUTORS,703,1,58223.0
274,BHAGAT & SONS,360,1,58218.0
275,YASEENS SUPERETTE,372,1,58070.0
276,MOLOMO GENERAL DEALER,HB_MOL001,1,57852.0
277,"AB Z, GENERAL SHOP",HB_AB 002,1,57794.0
278,JTS INTERNATIONAL PTY LTD,683,1,57304.0
279,OK FOODS POLOKWANE,441,1,57291.0
280,BAFANA WHOLESALER,118,1,57244.0
281,MYKA TRADING NEW TOWN,102,1,56922.0
282,METCASH T/A FRONTLINE HYPER,322,1,56899.0
283,MOGADISHO SUPERMARKET,146,1,56347.0
284,FOURWAYS SHOP,HB_FOU002,1,56074.0
285,UNIMART SUPERMARKET JANE FURSE (PTY) LTD,511,1,55845.0
286,CITY SQUARE PHARMACY,359,1,55641.0
287,Madiba Discount Store,HB_MAD009,1,55514.0
288,OLIFAN CASH & CARRY,86,1,55445.0
289,JAMBO MART (PTY) LTD,226,1,55408.0
290,MISH DISTRIBUTORS,411,1,55279.0
291,WARRICH CASH AND CARRY,"970, 468",2,55098.0
292,BOKHA BROTHERS 786 PTY,430,1,55041.0
293,SHYMES MARKETING,3245,1,54651.0
294,ROWSHAN GEN TROG T/A ALI WHOLESALERS,152,1,54565.0
295,GERMISTON CASH AND CARRY,23,1,54444.0
296,1ST CHOICE CASH & CARRY,557,1,54189.0
297,MARKET PLACE TZANEEN,366,1,54112.0
298,POINT HARDWARE,40,1,53534.0
299,ACE DISTRIBUTORS POLOKWANE,251,1,53393.0
300,BALLOTSVIEW SUPERMARKET,HB_BAL001,1,53270.0
301,SSMS TRADING (PTY) T/A TSHWANE CASH AND CARRY,128,1,53236.0
302,SUPA SAVE BURGERSFORT,520,1,53134.0
303,DHK DAIPERS SA,615,1,52969.0
304,ALLIED BUILDERS WATLOO,51,1,52947.0
305,BEST OPSENT TRADE IN,836,1,52817.0
306,SAMAD CASH AND CARRY,111,1,52647.0
307,CHEEKO INVESTMENTS,368,1,52486.0
308,MAZWABA TRADING & PROJECTS,820,1,52482.0
309,SSS SUPERSTORES,450,1,52436.0
310,MIDRAND STEEL KAALFONTEIN,167,1,51923.0
311,LUCKY FARM CASH AND CARRY,89,1,51819.0
312,GOOD PRICE SUPERMARKET,174,1,51559.0
313,KAIYUAN TRADING,221,1,51391.0
314,SUPERMARK,HB_SUP004,1,50148.0
315,RED SEA CASH & CARRY,660,1,50147.0
316,Zamazama Shop,HB_ZAM002,1,49618.0
317,ELWAK TRADING,632,1,49331.0
318,DENENPINE PTY LTD,123,1,49088.0
319,TEMBA DISCOUNT STORE 1 T/A TEMBA CASH N CARRY,507,1,49030.0
320,MIDRAND FRESH MEATS CC T/A  B NAGIAH'S QAULITY MUT,528,1,49026.0
321,IVORY PARK WHOLESALERS,524,1,48538.0
322,FREEDOM CASH AND CARY,539,1,48367.0
323,TEMBA CITY PHARMACY,412,1,48099.0
324,KH SWEETS MINI CASH & CARRY,137,1,48063.0
325,BRIGHT IDEA PROJECTS 1395CC T/A ASH CASH & CARRY,516,1,47328.0
326,MURSAL CASH AND CARRY,387,1,47236.0
327,S.M WHOLESALERS CC,522,1,46883.0
328,THE OBSTACLE DEN TRADING,403,1,46677.0
329,KAYI WHOLESALERS(PTY)LTD,648,1,46623.0
330,LYNNE VIRGIN HAIR&ACCESSORIES,767,1,46580.0
331,RAINBOW CASH AND CARRY(PTY) LTD,650,1,46579.0
332,VAAL CASH N CARRY (VEREENIGING),340,1,46351.0
333,FREEDOM GENERAL DEALERS,521,1,46125.0
334,TEMBISA CASH AND CARRY,87,1,45683.0
335,MORS INDUSTRIES,608,1,45178.0
336,LESEDI CASH AND CARRY,2,1,45089.0
337,K.G.N SUPPLIERS,"415, 547",2,45058.0
338,AKHIKHAYA TRADING & PROJECTS,932,1,44828.0
339,TAKI'S WOLESOME WHOLESALER,556,1,44334.0
340,METCASH TRADING AFRICA (PTY)LTD,88,1,44333.0
341,HOPE RITE GROUP (PTY) LTD,637,1,44242.0
342,NAWAAB SUPERMARKET,170,1,44207.0
343,STUDENT SUPERMARKET,428,1,43814.0
344,Awdal Cash Stire,HB_AWD001,1,43740.0
345,DING XING TRADING STORE,510,1,43374.0
346,A HARDWARE MOKALE,164,1,43244.0
347,Safeway Super Market Themplethu,HB_SAF001,1,42390.0
348,BIG SAVE WATLOO (PTY) LTD,397,1,42311.0
349,BUEMA COMERCIAL;E.I,673,1,42179.0
350,SALEH SWEETS,326,1,41656.0
351,SAVOY SUPERMARKET,311,1,41445.0
352,H H X TRADE,333,1,41417.0
353,CKP DISTRIBUTORS (PTY) LTD,623,1,40991.0
354,GANI WHOLESALERS (PTY) LTD,630,1,40925.0
355,NELLMAPIES WHOLESELAR,163,1,40715.0
356,PLATINUM CASH & CARRY,495,1,40423.0
357,50 Cent Cash Stoee,HB_50 001,1,40412.0
358,MOLOTO CROSSING,140,1,40185.0
359,SWEETS & SNACKS WORLD GROBLERSDAL,363,1,40160.0
360,A ALI TRADING CC T/A MARKET PLACE,68,1,40068.0
361,DINI CASH & CARRY,82,1,39450.0
362,MAMUSH SUPERMARKET,327,1,39050.0
363,JOHN GENERAL,"409, 459",2,38890.0
364,NUURADIN TRADING LTD T/A ZAMA ZAMA SUPERSTORE,470,1,38736.0
365,MONA AHMED TRADING T/A CHEAP CHEAP ATOK,504,1,38697.0
366,Tawakal Cash Store,HB_TAW004,1,38636.0
367,NUMBER ONE WHOLESALLER,188,1,38481.0
368,CHAMPION CASH&CARRY,967,1,38391.0
369,ALL LOVE TRADING,662,1,37906.0
370,TZANEEN HAWKER CITY T/A MAMA CASH N CARRY,501,1,37875.0
371,ALLIED BUILDERS EXPRESS CLAYVILLE,23,1,37845.0
372,EGAD MADIBA STORE (PTY) LTD,159,1,37672.0
373,SOM SUPER STORE,211,1,37652.0
374,EBIESONS SUPER MARKET,240,1,37338.0
375,Cheap Cheap Shop,HB_CHE002,1,36912.0
376,MIDRAND STEEL & HARDWARE,88,1,36317.0
377,APLOSOL,61,1,36217.0
378,TOP MART HYPER,792,1,36039.0
379,SIYABONGA DISTRIBUTORS,598,1,35848.0
380,BRITS MUTHI SHOP,814,1,35703.0
381,AL MADINA HARDWARE SUN CITY,152,1,35615.0
382,AMMAR TRADDING,198,1,34707.0
383,A K SUPERMARKET,390,1,34339.0
384,MC GLOBAL SOLUTIONS,510,1,34232.0
385,LOYAN TRADING CASH & CARRY,582,1,34028.0
386,Hiran Tuck Shop,HB_HIR001,1,33958.0
387,SOWETO CASH N CARRY,7,1,33928.0
388,SAKINA SUPERMARKET BOCHUM,357,1,33643.0
389,FEMZ COSMETICS (PTY) LTD,653,1,33163.0
390,LIBAAN CASH AND CARRY,449,1,33070.0
391,REIN SUPPLIES,56,1,33037.0
392,MOGWASE HARDWARE,117,1,32483.0
393,BLOEM STEEL & HARDWARE,174,1,32066.0
394,BAFANA BAFANA WHOLESALERS TZANEEN,494,1,31957.0
395,SHAMWARI CASH & CARRY,492,1,31942.0
396,A1 SUPERMARKET,27,1,31882.0
397,GOOD ONE PRICE CASH AND CARRY,565,1,31777.0
398,White LOCATION CASH STORE,HB_WHI001,1,31767.0
399,EKSONS WHOLESALERS (PTY) LTD,80,1,31683.0
400,HOSANNA CASH AND CARRY,85,1,31024.0
401,CHARLES PAY AND SAVE,194,1,30872.0
402,HORN AFRICA (PTY) LTD,889,1,30867.0
403,SOMEAST WHOLESALE DISTRIBUTION,"98, 55",2,30865.0
404,AUTUMN SKY TRADING,8,1,30702.0
405,MADINA CASH N CARRY,61,1,30548.0
406,FATIMA GENERAL STORE PTY LTD,93,1,30208.0
407,Protea Supersave,HB_PRO001,1,30195.0
408,NKOSANA TUCK SHOP,931,1,29886.0
409,ERNEST DISTRIBUTORS,341,1,29505.0
410,ADVANCE WAREHOUSING (PTY) LTD,25,1,28859.0
411,YMS TRADING AND DISTRIBUTORS,649,1,28834.0
412,ATH DISTRIBUTORS PTY LTD,52,1,28766.0
413,X WHOLESALE & RETAIL T/A LUCKY C&C,84,1,28584.0
414,CHEMTEK CARE,"439, 902",2,28567.0
415,MANAIM INVESTMENT (PTY) LTD,668,1,28380.0
416,SHAGOR SUPER MARKET,321,1,27702.0
417,JUEUL ENTERPRIZE (SILAAM),169,1,27628.0
418,BARAKA CASH N CARRY (PALM RIDGE),4,1,27261.0
419,LUCKY NR 5 SUPERMARKET,674,1,27105.0
420,AW STREETWISE (PTY) LTD,699,1,27103.0
421,D.K DISCOUNT C&C,525,1,27062.0
422,FRONT ROW FMCG STORE,59,1,26875.0
423,AYEZA ENTERPRISES LIMITED,659,1,26616.0
424,AFRO ZONE TECHNOLOCHY (PTY) LTD,131,1,26196.0
425,MOLOTO HARDWARE,145,1,26125.0
426,DARUSALAM CASH AND CARRY,73,1,26112.0
427,NIZAMS JUBILEE,486,1,26076.0
428,NAKATHA TRADING - JBROS HARDWARE,87,1,25801.0
429,TTK GLOBAL DISTRIBUTORS,643,1,25557.0
430,DAWSONS HARDWARE LYDENBURG,176,1,25488.0
431,Kwllos Shop,HB_KWL001,1,25387.0
432,ENCHANTING FOREST T/A MIDSTREAM SUPERSPAR & TOPS,"408, 4",2,25352.0
433,ALLIED BUILDERS XPRESS HMK,22,1,25342.0
434,MS HARDWARE PHOKENG,158,1,25278.0
435,BEST DISCOUNT HARDWARE,54,1,25093.0
436,ZAM ZAM HARDWARE,157,1,24820.0
437,SHANLEYSTE WHOLESALERS,114,1,24756.0
438,SMART BUILD ATTERIDGEVILLE,75,1,24718.0
439,MEHERBAN HARDWARE,150,1,24460.0
440,ISM TRADING,400,1,24460.0
441,SA HARDWARE TWEEFONTEIN,78,1,24337.0
442,THEMBISA CASH AND CARRY (PTY) LTD,508,1,24080.0
443,TZANEEN HARDWARE & STEEL,133,1,23928.0
444,AFRICAN AND TAWAKAL STORE,477,1,23816.0
445,YAFEIT GENERAL TRADING,542,1,23492.0
446,STANLEY LOGISTICS (PVT) LTD,681,1,23109.0
447,DISCOUNT CASH N CARRY,464,1,22901.0
448,ADEO SOUTH AFRICA PTYLTD,121,1,22751.0
449,BM ENTERPRISES,472,1,22604.0
450,STEEL FACTORY,30,1,22480.0
451,ORION CASH AMD CARRY,536,1,22237.0
452,UNIMART HYPERMARKET MIDRAND,348,1,22147.0
453,MUBARAK SUPERMAKET SA,549,1,22133.0
454,SWIFT EXPRESS & WAREHOUSE,505,1,22119.0
455,A ONE WHOLESALERS MAKHADO,416,1,21897.0
456,MAYESELA GENERAL DEALER,62,1,21814.0
457,MURANI TUCKSHOP,357,1,21785.0
458,EXPORT & IMPORT MOVEMENT CC,30,1,21320.0
459,FAYSAL ETHOIUPIAN MACAWIYE,161,1,21244.0
460,MAKGATHO WHOLE SALERS,66,1,21168.0
461,GRL WILLIAMS TRADING & PROJECT,649,1,21147.0
462,SHIDY HARDWARE,68,1,20842.0
463,RAJA DISCOUNT HARDWARE,107,1,20670.0
464,BBK SUPERMARKET,160,1,20151.0
465,KINGSMEAD TRADING,413,1,20029.0
466,ASAD TRADING,660,1,19954.0
467,SIMON HARDWARE,134,1,19896.0
468,NIZAMS MAMELODI SQUARE,490,1,19869.0
469,PAPATA HARDWARE CC,1,1,19866.0
470,HEPLON SUPERMARKET,167,1,19840.0
471,BAFOKENG HARDWARE PHOKENG,159,1,19840.0
472,RAYAN INTERNATIONAL TRADING CC,527,1,19716.0
473,RIDGEWAY GARDEN SPAR,427,1,19231.0
474,MABUNDA SUPERMARKET,603,1,18516.0
475,MIRREN INVESTMENTS T/A MACBUILD,177,1,18456.0
476,DH CONSTRUCTION & PROJECT MANAGEMENT,299,1,18276.0
477,AL MADAR GENERAL TRADING,135,1,18173.0
478,AFRICAN SUPERMARKET,148,1,18028.0
479,MG GENERAL DEALER,400,1,17983.0
480,CHISIPITI GLOBAL PTY LTD,500,1,17935.0
481,CITY FOOD PLACE,458,1,17622.0
482,LHH TRADING PROJECTS,955,1,17340.0
483,ADOWA IVVORY PARK,380,1,17086.0
