category_l1,date,period,quantity,revenue,num_orders,num_customers
Baby and Toddler,2025-05-01,H1,28070,5241535.19,38,37
Baby and Toddler,2025-05-02,H1,25386,4521496.72,36,35
Baby and Toddler,2025-05-03,H1,29560,5072357.92,42,34
Baby and Toddler,2025-05-05,H1,31141,5417101.04,39,39
Baby and Toddler,2025-05-06,H1,13125,2255736.41,17,17
Baby and Toddler,2025-05-07,H1,20336,3802560.74,35,34
Baby and Toddler,2025-05-08,H1,32129,5273988.21,38,37
Baby and Toddler,2025-05-09,H1,14238,3469408.54,30,29
Baby and Toddler,2025-05-10,H1,17407,3620880.02,17,16
Baby and Toddler,2025-05-12,H1,23515,4779602.49,27,26
Baby and Toddler,2025-05-13,H1,25250,4486767.2,37,36
Baby and Toddler,2025-05-14,H1,44058,7462748.11,70,62
Baby and Toddler,2025-05-15,H1,16460,2825315.12,41,37
Baby and Toddler,2025-05-16,H1,12655,1966006.53,32,32
Baby and Toddler,2025-05-17,H1,21301,3534278.05,43,41
Baby and Toddler,2025-05-19,H1,14649,2899508.71,34,32
Baby and Toddler,2025-05-20,H1,29882,5020245.36,45,43
Baby and Toddler,2025-05-21,H1,19065,3397055.91,34,34
Baby and Toddler,2025-05-22,H1,10576,1868906.8900000001,34,33
Baby and Toddler,2025-05-23,H1,26745,4611260.43,62,56
Baby and Toddler,2025-05-24,H1,17035,2654360.61,40,36
Baby and Toddler,2025-05-26,H1,38852,6379159.84,41,40
Baby and Toddler,2025-05-27,H1,28082,5016318.3,36,31
Baby and Toddler,2025-05-28,H1,16684,3973674.58,38,37
Baby and Toddler,2025-05-29,H1,13764,2106517.4,34,33
Baby and Toddler,2025-05-30,H1,9361,2003481.24,33,31
Baby and Toddler,2025-05-31,H1,5878,1210206.32,20,20
Baby and Toddler,2025-06-02,H1,15320,2728402.12,16,16
Baby and Toddler,2025-06-03,H1,11554,2205508.2,16,15
Baby and Toddler,2025-06-04,H1,11682,2146483.0,11,11
Baby and Toddler,2025-06-05,H1,26246,4883416.2,26,26
Baby and Toddler,2025-06-06,H1,18990,3199920.8,22,21
Baby and Toddler,2025-06-07,H1,5692,900087.6,11,10
Baby and Toddler,2025-06-09,H1,29774,4817840.86,54,50
Baby and Toddler,2025-06-10,H1,29938,4702439.62,41,40
Baby and Toddler,2025-06-11,H1,30796,5215175.42,50,44
Baby and Toddler,2025-06-12,H1,18199,3039693.7,20,20
Baby and Toddler,2025-06-13,H1,29104,4792073.2,39,38
Baby and Toddler,2025-06-14,H1,13256,1912323.24,14,12
Baby and Toddler,2025-06-16,H1,21220,3394573.5,34,31
Baby and Toddler,2025-06-17,H1,29887,4850610.42,53,50
Baby and Toddler,2025-06-18,H1,16853,2840895.9,27,26
Baby and Toddler,2025-06-19,H1,8637,1756246.0,16,16
Baby and Toddler,2025-06-20,H1,27400,3763796.52,47,42
Baby and Toddler,2025-06-21,H1,9868,1510267.6,20,19
Baby and Toddler,2025-06-23,H1,33567,5346063.38,66,60
Baby and Toddler,2025-06-24,H1,57374,7977508.04,99,83
Baby and Toddler,2025-06-25,H1,7696,1745135.0,12,12
Baby and Toddler,2025-06-26,H1,7140,1292227.0,9,9
Baby and Toddler,2025-06-27,H1,26992,4425161.74,53,48
Baby and Toddler,2025-06-28,H1,47430,6801353.36,74,71
Baby and Toddler,2025-06-30,H2,76289,10896201.68,109,93
Baby and Toddler,2025-07-01,H2,3735,1315554.0,7,7
Baby and Toddler,2025-07-02,H2,2396,420197.0,9,9
Baby and Toddler,2025-07-03,H2,6447,1229682.0,15,15
Baby and Toddler,2025-07-04,H2,8712,1453217.0,17,17
Baby and Toddler,2025-07-05,H2,3223,830845.0,6,6
Baby and Toddler,2025-07-07,H2,8166,1625542.0,12,12
Baby and Toddler,2025-07-08,H2,7063,1971962.22,19,17
Baby and Toddler,2025-07-09,H2,18806,4064834.75,37,37
Baby and Toddler,2025-07-10,H2,13877,2924127.22,24,22
Baby and Toddler,2025-07-11,H2,13181,2361275.72,22,22
Baby and Toddler,2025-07-12,H2,8568,1613467.22,19,19
Baby and Toddler,2025-07-14,H2,11259,2249103.75,14,14
Baby and Toddler,2025-07-15,H2,4300,809421.0,11,11
Baby and Toddler,2025-07-16,H2,6369,967486.72,13,13
Baby and Toddler,2025-07-17,H2,13918,2259303.5,27,26
Baby and Toddler,2025-07-18,H2,8743,1705812.04,19,17
Baby and Toddler,2025-07-19,H2,6060,1603957.0,6,6
Baby and Toddler,2025-07-21,H2,8331,1582769.5,15,15
Baby and Toddler,2025-07-22,H2,10677,1980731.04,23,23
Baby and Toddler,2025-07-23,H2,13413,2474332.5,20,20
Baby and Toddler,2025-07-24,H2,10138,2002393.54,29,27
Baby and Toddler,2025-07-25,H2,6838,1568317.0,24,23
Baby and Toddler,2025-07-26,H2,17432,2876255.97,23,22
Baby and Toddler,2025-07-28,H2,15933,3067357.71,27,27
Baby and Toddler,2025-07-29,H2,12505,2467177.54,27,25
Baby and Toddler,2025-07-30,H2,11442,2370845.08,29,28
Baby and Toddler,2025-07-31,H2,15357,2966262.03,30,27
Baby and Toddler,2025-08-01,H2,11439,2120447.48,17,17
Baby and Toddler,2025-08-02,H2,7308,1464163.94,18,18
Baby and Toddler,2025-08-04,H2,14918,2766293.72,32,32
Baby and Toddler,2025-08-05,H2,11393,2018689.61,20,20
Baby and Toddler,2025-08-06,H2,13479,2348462.5,22,21
Baby and Toddler,2025-08-07,H2,11196,2545809.1,25,25
Baby and Toddler,2025-08-08,H2,28402,5143232.27,68,67
Baby and Toddler,2025-08-09,H2,16000,2818048.75,61,60
Baby and Toddler,2025-08-11,H2,62219,9536025.01,149,119
Baby and Toddler,2025-08-12,H2,35908,6013587.35,66,57
Baby and Toddler,2025-08-13,H2,25653,4389731.75,68,60
Baby and Toddler,2025-08-14,H2,24117,4794001.78,56,55
Baby and Toddler,2025-08-15,H2,19946,3454162.8,61,59
