original_customer_id,master_customer_id,customer_name
HB_RAM005,224,RAMADHAAN SHOP(Ladismith)
501,225,KANAAF CASH AND CARRY
454,226,FOOD HYPER MOKOPANE
633,227,CONTACTS TRADING CC
HB_PLA001,228,Plate C$carry
HB_RAM003,229,RAMADHAN CASH STORE
21,230,GLOBAL FOOD CASH AND CARRY (PTY) LTD
645,231,FOZERA ENTERPRISE
89,232,BIG ZAAD CASH & CARRY
638,233,TIC & TAC SUPERMARKET
389,234,A1 CASH AND CARRY
553,235,SK WHOLESALERS
HB_ALL007,236,All Nation Shop
HB_PEO003,237,People's Cash Store
394,238,MAMA FAMEFA TRADING
HB_MAD003,239,Madina SupermRket
75,240,GEEDGALE TRADING PTY (LTD)
572,241,LUCKY WHOLESALE
132,242,ONE STOP SWEET WHOLESALER
84,243,MABHOKO STEEL & GLASS
HB_SUN005,244,Sunshine Superstore
666,245,EJABA FIVE STAR DISTRIBUTORS
847,246,EAST AND SOUTH CASH AND CARRY
378,247,WIPE IT CC
HB_SPA001,248,Spaza Rama Shop
502,249,SAYMAY WHOLESALERS TZANEEN
413,250,MALANDZA TRADING & INVESTMENT
HB_ECO001,251,Econofoods
890,252,HILAAL SUPPLIERS
74,253,EVAGOLD CASH AND CARRY
358,254,RAINBOW BARGAIN STORE
971,255,TRIPLE CREST TRADING
898,255,TRIPLE CREST TRADING
100,256,TBI (PTY) LTD
195,257,KAFF DISTRIBUTOR
433,258,ZCW TRADING (PTY) LTD - MEAT & CHICKEN GROBLERSDAL
627,259,SABSE GENRAL TRADING CC
553,260,DJ GENERAL DEALER
678,261,MD MUTHI SHOP
25,262,RUBY HARDWARE
975,263,EASY SUPERMARKET & DELI
864,264,BATHUSENG IMPORTS &  EXPORTS
755,265,ASHFIR TRADING CC
426,266,MANTELA TRADING 220 CC
645,267,DAYSTAR DISTROBUTION
730,268,KTA TRADING & PROJECTS
329,269,AFROHEALTH
634,270,RECHARGE CASH N CARRY
710,271,AHFAN TRADING T/A KISMET CASH AND CARRY
506,272,CTX SUPPLIERS (PTY) LTD
703,273,Z AND K DISTRIBUTORS
360,274,BHAGAT & SONS
372,275,YASEENS SUPERETTE
HB_MOL001,276,MOLOMO GENERAL DEALER
HB_AB 002,277,"AB Z, GENERAL SHOP"
683,278,JTS INTERNATIONAL PTY LTD
441,279,OK FOODS POLOKWANE
118,280,BAFANA WHOLESALER
102,281,MYKA TRADING NEW TOWN
322,282,METCASH T/A FRONTLINE HYPER
146,283,MOGADISHO SUPERMARKET
HB_FOU002,284,FOURWAYS SHOP
511,285,UNIMART SUPERMARKET JANE FURSE (PTY) LTD
359,286,CITY SQUARE PHARMACY
HB_MAD009,287,Madiba Discount Store
86,288,OLIFAN CASH & CARRY
226,289,JAMBO MART (PTY) LTD
411,290,MISH DISTRIBUTORS
970,291,WARRICH CASH AND CARRY
468,291,WARRICH CASH AND CARRY
430,292,BOKHA BROTHERS 786 PTY
3245,293,SHYMES MARKETING
152,294,ROWSHAN GEN TROG T/A ALI WHOLESALERS
23,295,GERMISTON CASH AND CARRY
557,296,1ST CHOICE CASH & CARRY
366,297,MARKET PLACE TZANEEN
40,298,POINT HARDWARE
251,299,ACE DISTRIBUTORS POLOKWANE
HB_BAL001,300,BALLOTSVIEW SUPERMARKET
128,301,SSMS TRADING (PTY) T/A TSHWANE CASH AND CARRY
520,302,SUPA SAVE BURGERSFORT
615,303,DHK DAIPERS SA
51,304,ALLIED BUILDERS WATLOO
836,305,BEST OPSENT TRADE IN
111,306,SAMAD CASH AND CARRY
368,307,CHEEKO INVESTMENTS
820,308,MAZWABA TRADING & PROJECTS
450,309,SSS SUPERSTORES
167,310,MIDRAND STEEL KAALFONTEIN
89,311,LUCKY FARM CASH AND CARRY
174,312,GOOD PRICE SUPERMARKET
221,313,KAIYUAN TRADING
HB_SUP004,314,SUPERMARK
660,315,RED SEA CASH & CARRY
HB_ZAM002,316,Zamazama Shop
632,317,ELWAK TRADING
123,318,DENENPINE PTY LTD
507,319,TEMBA DISCOUNT STORE 1 T/A TEMBA CASH N CARRY
528,320,MIDRAND FRESH MEATS CC T/A  B NAGIAH'S QAULITY MUT
524,321,IVORY PARK WHOLESALERS
539,322,FREEDOM CASH AND CARY
412,323,TEMBA CITY PHARMACY
137,324,KH SWEETS MINI CASH & CARRY
516,325,BRIGHT IDEA PROJECTS 1395CC T/A ASH CASH & CARRY
387,326,MURSAL CASH AND CARRY
522,327,S.M WHOLESALERS CC
403,328,THE OBSTACLE DEN TRADING
648,329,KAYI WHOLESALERS(PTY)LTD
767,330,LYNNE VIRGIN HAIR&ACCESSORIES
650,331,RAINBOW CASH AND CARRY(PTY) LTD
340,332,VAAL CASH N CARRY (VEREENIGING)
521,333,FREEDOM GENERAL DEALERS
87,334,TEMBISA CASH AND CARRY
608,335,MORS INDUSTRIES
2,336,LESEDI CASH AND CARRY
415,337,K.G.N SUPPLIERS
547,337,K.G.N SUPPLIERS
932,338,AKHIKHAYA TRADING & PROJECTS
556,339,TAKI'S WOLESOME WHOLESALER
88,340,METCASH TRADING AFRICA (PTY)LTD
637,341,HOPE RITE GROUP (PTY) LTD
170,342,NAWAAB SUPERMARKET
428,343,STUDENT SUPERMARKET
HB_AWD001,344,Awdal Cash Stire
510,345,DING XING TRADING STORE
164,346,A HARDWARE MOKALE
HB_SAF001,347,Safeway Super Market Themplethu
397,348,BIG SAVE WATLOO (PTY) LTD
673,349,BUEMA COMERCIAL;E.I
326,350,SALEH SWEETS
311,351,SAVOY SUPERMARKET
333,352,H H X TRADE
623,353,CKP DISTRIBUTORS (PTY) LTD
630,354,GANI WHOLESALERS (PTY) LTD
163,355,NELLMAPIES WHOLESELAR
495,356,PLATINUM CASH & CARRY
HB_50 001,357,50 Cent Cash Stoee
140,358,MOLOTO CROSSING
363,359,SWEETS & SNACKS WORLD GROBLERSDAL
68,360,A ALI TRADING CC T/A MARKET PLACE
82,361,DINI CASH & CARRY
327,362,MAMUSH SUPERMARKET
409,363,JOHN GENERAL
459,363,JOHN GENERAL
470,364,NUURADIN TRADING LTD T/A ZAMA ZAMA SUPERSTORE
504,365,MONA AHMED TRADING T/A CHEAP CHEAP ATOK
HB_TAW004,366,Tawakal Cash Store
188,367,NUMBER ONE WHOLESALLER
967,368,CHAMPION CASH&CARRY
662,369,ALL LOVE TRADING
501,370,TZANEEN HAWKER CITY T/A MAMA CASH N CARRY
23,371,ALLIED BUILDERS EXPRESS CLAYVILLE
159,372,EGAD MADIBA STORE (PTY) LTD
211,373,SOM SUPER STORE
240,374,EBIESONS SUPER MARKET
HB_CHE002,375,Cheap Cheap Shop
88,376,MIDRAND STEEL & HARDWARE
61,377,APLOSOL
792,378,TOP MART HYPER
598,379,SIYABONGA DISTRIBUTORS
814,380,BRITS MUTHI SHOP
152,381,AL MADINA HARDWARE SUN CITY
198,382,AMMAR TRADDING
390,383,A K SUPERMARKET
510,384,MC GLOBAL SOLUTIONS
582,385,LOYAN TRADING CASH & CARRY
HB_HIR001,386,Hiran Tuck Shop
7,387,SOWETO CASH N CARRY
357,388,SAKINA SUPERMARKET BOCHUM
653,389,FEMZ COSMETICS (PTY) LTD
449,390,LIBAAN CASH AND CARRY
56,391,REIN SUPPLIES
117,392,MOGWASE HARDWARE
174,393,BLOEM STEEL & HARDWARE
494,394,BAFANA BAFANA WHOLESALERS TZANEEN
492,395,SHAMWARI CASH & CARRY
27,396,A1 SUPERMARKET
565,397,GOOD ONE PRICE CASH AND CARRY
HB_WHI001,398,White LOCATION CASH STORE
80,399,EKSONS WHOLESALERS (PTY) LTD
85,400,HOSANNA CASH AND CARRY
194,401,CHARLES PAY AND SAVE
889,402,HORN AFRICA (PTY) LTD
98,403,SOMEAST WHOLESALE DISTRIBUTION
55,403,SOMEAST WHOLESALE DISTRIBUTION
8,404,AUTUMN SKY TRADING
61,405,MADINA CASH N CARRY
93,406,FATIMA GENERAL STORE PTY LTD
HB_PRO001,407,Protea Supersave
931,408,NKOSANA TUCK SHOP
341,409,ERNEST DISTRIBUTORS
25,410,ADVANCE WAREHOUSING (PTY) LTD
649,411,YMS TRADING AND DISTRIBUTORS
52,412,ATH DISTRIBUTORS PTY LTD
84,413,X WHOLESALE & RETAIL T/A LUCKY C&C
439,414,CHEMTEK CARE
902,414,CHEMTEK CARE
668,415,MANAIM INVESTMENT (PTY) LTD
321,416,SHAGOR SUPER MARKET
169,417,JUEUL ENTERPRIZE (SILAAM)
4,418,BARAKA CASH N CARRY (PALM RIDGE)
674,419,LUCKY NR 5 SUPERMARKET
699,420,AW STREETWISE (PTY) LTD
525,421,D.K DISCOUNT C&C
59,422,FRONT ROW FMCG STORE
659,423,AYEZA ENTERPRISES LIMITED
131,424,AFRO ZONE TECHNOLOCHY (PTY) LTD
145,425,MOLOTO HARDWARE
73,426,DARUSALAM CASH AND CARRY
486,427,NIZAMS JUBILEE
87,428,NAKATHA TRADING - JBROS HARDWARE
643,429,TTK GLOBAL DISTRIBUTORS
176,430,DAWSONS HARDWARE LYDENBURG
HB_KWL001,431,Kwllos Shop
408,432,ENCHANTING FOREST T/A MIDSTREAM SUPERSPAR & TOPS
4,432,ENCHANTING FOREST T/A MIDSTREAM SUPERSPAR & TOPS
22,433,ALLIED BUILDERS XPRESS HMK
158,434,MS HARDWARE PHOKENG
54,435,BEST DISCOUNT HARDWARE
157,436,ZAM ZAM HARDWARE
114,437,SHANLEYSTE WHOLESALERS
75,438,SMART BUILD ATTERIDGEVILLE
150,439,MEHERBAN HARDWARE
400,440,ISM TRADING
78,441,SA HARDWARE TWEEFONTEIN
508,442,THEMBISA CASH AND CARRY (PTY) LTD
133,443,TZANEEN HARDWARE & STEEL
477,444,AFRICAN AND TAWAKAL STORE
542,445,YAFEIT GENERAL TRADING
681,446,STANLEY LOGISTICS (PVT) LTD
464,447,DISCOUNT CASH N CARRY
121,448,ADEO SOUTH AFRICA PTYLTD
472,449,BM ENTERPRISES
30,450,STEEL FACTORY
536,451,ORION CASH AMD CARRY
348,452,UNIMART HYPERMARKET MIDRAND
549,453,MUBARAK SUPERMAKET SA
505,454,SWIFT EXPRESS & WAREHOUSE
416,455,A ONE WHOLESALERS MAKHADO
62,456,MAYESELA GENERAL DEALER
357,457,MURANI TUCKSHOP
30,458,EXPORT & IMPORT MOVEMENT CC
161,459,FAYSAL ETHOIUPIAN MACAWIYE
66,460,MAKGATHO WHOLE SALERS
649,461,GRL WILLIAMS TRADING & PROJECT
68,462,SHIDY HARDWARE
107,463,RAJA DISCOUNT HARDWARE
160,464,BBK SUPERMARKET
413,465,KINGSMEAD TRADING
660,466,ASAD TRADING
134,467,SIMON HARDWARE
490,468,NIZAMS MAMELODI SQUARE
1,469,PAPATA HARDWARE CC
167,470,HEPLON SUPERMARKET
159,471,BAFOKENG HARDWARE PHOKENG
527,472,RAYAN INTERNATIONAL TRADING CC
427,473,RIDGEWAY GARDEN SPAR
603,474,MABUNDA SUPERMARKET
177,475,MIRREN INVESTMENTS T/A MACBUILD
299,476,DH CONSTRUCTION & PROJECT MANAGEMENT
135,477,AL MADAR GENERAL TRADING
148,478,AFRICAN SUPERMARKET
400,479,MG GENERAL DEALER
500,480,CHISIPITI GLOBAL PTY LTD
458,481,CITY FOOD PLACE
955,482,LHH TRADING PROJECTS
380,483,ADOWA IVVORY PARK
13,484,PINKY'S SUPER MARKET AND WHOLESALE
713,485,THE MAGALIESBURG HEALTH CENTRE
563,486,R5 SHOP
421,487,CHOICE 786 HAWKERS CENTRE DZANANI
540,488,SILVER GENERAL TRADING (PTY) LTD
575,489,TODAY'S HOPE TRADING AND PROJECTS
410,490,COSMOS CITY CLINICS PHARMACY
370,491,METRO HOME CENTRE
400,491,METRO HOME CENTRE
139,492,AFRICA HARDWARE MAMELODI
124,493,TONKODISCOUNT CASH AND CARRY
339,494,NKURE NKURU
332,495,DESTA TUCKSHOP
519,496,SALAAM C&C
418,497,CC DISTRIBUTORS SA (pty) Ltd
581,498,HARVESTCO SA
657,499,SUSPENSE ACC
616,500,KHALIF ENTERPRISE (PTY) LTD
127,501,ASAD HARDWARE KWAMHLANGA
656,502,KAYI CAPITAL
434,503,PLATINUM PANTHER TRADE (PTY) LTD T/A DAKOTA C & C
702,504,FAMILY MARKET HYPER
142,505,NTAOLENG
507,506,CHECK U CASH N CARRY MAKHADO
521,507,HYPERSTAR CASH & CARRY
94,508,TRADE CAPTAINS (PTY) LTD
151,509,CHIEF HARDWARE SUN CITY
321,510,ABBI SHOP MINI MARKET
0,510,ABBI SHOP MINI MARKET
57,511,BATHO CASH N CARRY
401,512,KIDSALOT
14,513,ABC SUPER MARKET
143,514,SAVEMORE SPAR SUPERMARKET
511,515,NOVELTY ENTERPRISES
655,515,NOVELTY ENTERPRISES
357,516,NURANI TUCKSHOP
383,517,MAYFAIR WHOLESALE AND RETAIL
347,518,NK INDUSTRIES (PTY) LTD
447,519,TIGER SUPERSAVERS
193,520,PERFORMANCE
337,521,AN WHOLESALERS & RETAIL T/A OB SUPERMARKET
329,522,Y AND R COSMETICS (PTY) LTD
342,523,STATION BUTCHERY KROONSTAD
707,524,NEW GUOFA TRADING (PTY) LTD
355,525,SUPER SNACKS SUPERMARKET
125,526,ALLIED HOME CENTRE
617,527,GOD LOVE GROUP (PTY) LTD
538,528,BADAR STORE
17,529,FOOD BAZAAR CASH N CARRY (PTY) LTD
83,530,TAWAKAL TOWIQ CASH AND CARRY
977,531,ELDORADO CASH & CARRY
28,532,WALK IN CASH
175,533,DUNAMO WHOLESALE
200,534,Rehan Z Hardware
349,535,HASAN OROMO SUPERMARKET
156,536,RABASOTHO HARDWARE
117,537,ALFAJRI GENERAL TRADING (PTY) LTD
356,538,RAZA BROADWAY SUPERMARKET
547,538,RAZA BROADWAY SUPERMARKET
552,539,SALEH SWEETS (PTY) LTD
407,540,SYNDI-VALUE T/A LYTTELTON SUPERSPAR
361,541,BLESS TUCKSHOP
547,542,RAZA  BROADWAY SUPERMARKET
166,543,SUNRISE SUPERMARKET
79,544,ALPHA HAIR BEAUTIQUE (PTY) LTD T/A WIN WIN EMPIRE
45,545,MMADIKGONG TRADING AND DITRIBUTION
331,546,NINILE TUCKSHOP
535,547,ZAMA ZAMA SUPERMARKET
636,548,AMXFA GENERAL TRADING
661,549,LAKIMI CC TA BROTHERS CASH AND CARRY
HB_LUC003,550,Lucy Shop Themp
58,551,SMART HARDWARE KWAMHLANGA
408,552,LWAZILWAPHESHEYA HEALTH SHOP
156,553,KLIPGAT WHOLESALER
103,554,DRINKWORLD
200,555,REHAN Z HARDWARE
318,556,WOSA WOSA WHOLE SALER
403,557,ENSEMBLE TRADIN G205(PTY)LTD T/A VALHALLA SPAR & T
406,558,PHELANG CROSSING PHARMACY
153,559,RUPUSHI BANGLA WHOLESEL
330,560,SMART AFRO.COM
104,561,GREEN SUPERMARKET
382,562,ALI SUPERMARKET RABASUTU
122,563,JUST FOR YOU
140,564,EZZIE HARDWARE MOLOTO
400,565,ISM TRADING (PTY) LTD
149,566,MUNSHIGONJ SUPERMARKET
6,567,AFGAAB BABY CARE
533,568,LEHLOGONOLO SHALANG
392,569,ABC SWEETS
185,570,SHAAZIA MAMS MALL
189,571,MEDICAL CENTER
215,572,CCW SALES & MARKETING
644,573,KM JABULANI DISTRIBUTORS (PTY) LTD
160,574,MABALE HARDWARE
9,575,VALUE HARDWARE
456,576,WINNIE SUPERMARKET
570,577,TANAAD GENERAL FASHIONS
118,578,RAMMULOTSI HARDWARE & BUILDING MATERIALS
346,579,PICK & SAVE (CAPE TOWN)
513,580,AL SAYED TRADINGS
426,581,GABMAN CC T/A SUPERSPAR@55
364,582,RHODES JAPONCA TRADING
48,583,THOKOZA HARDWARE
391,584,AQUA PURA
53,585,DISCOUNT SUPER MARKET
344,586,RICH FOREVER ENTERPRISES
363,587,SANJO WINNIE TUCKSHOP
385,588,M NKA MBAKO SUPERMARKET
158,589,MSK TRADING
600,590,tawakal 2 shop
340,591,BEREGA GENERAL DEALER
455,592,MARVELOUS WHOLESALERS
706,593,RAINBOW HAWKERS CASH AND CARRY
88,594,SA STEEL & BUILDERS
628,595,MA SWEET SUPERMARKET
419,596,MUCH BETTER HOME MART
150,596,MUCH BETTER HOME MART
518,597,HUFIL LIMITADA
518,598,ZAKERA COSMETICS
345,599,MIGGAR TUCKSHOP
672,600,MOKOPANE MULTISAVE
328,601,FARIS TUCKSHOP
108,602,WELGEVAL HARDWARE
133,603,LUCK 5 SUPER MARKET
526,604,MOKWENA SUPER STORE C&C
109,605,NINE STARS
499,606,LETABA FRUIT & VEG
404,607,LIV GREEN ELECTRONICS
21,608,CH HARDWARE
119,609,MEGA ZZBM
316,610,UFI DISTRIBUTION CENTRE (PTY) LTD
170,611,AK SUPERMARKET
HB_ETH002,612,ETHIOPIAN BROTHERS SHOP
326,613,BADSHA TUCKSHOP
416,614,BIG SAVE STORE
446,615,UNIMAART-MAMELODI
558,616,RAILWAY SUPERMARKET
131,617,KING STEEL & HARDWARE WELKOM
388,618,BITLINE SA 473 CC. T/A CHOICE SUPERMARKET
479,619,ONE BY ONE MARKET (PTY) LTD
638,620,LUCAS SALES
329,620,LUCAS SALES
976,621,MAMBO CASH & CARRY
138,622,TREE BROTHER HOLY SELERS
3,623,AL-AMIIN GENERAL DEALER
151,624,NEW STAR SUPERMARKET
461,625,SOMAIYA SUPERMARKET
HB_MYE001,626,MYEEM SUPERMARKET
444,627,TROPICANA SUPERMARKET
437,628,UNIMART ALEXANDRA TRADING (PTY)LTD
HB_BIS001,629,Bismillah Shop2
