sku,name,avg_price,min_price,max_price,price_std,total_quantity,total_revenue,total_orders,active_weeks,brand,manufacturer,category_path,fmcg,category_l1,category_l2,category_l3,price_volatility
10098,SSF BLOW OUT RELAX 6x250ML,153.48355555555554,21.52,172.0,29.787617150571418,93351.0,12608066.99,713,52,Sta-sof-fro,M&M Cosmetics Ltd,Red101 Market/Home & Garden/Household Supplies,M&M Products Company,Home & Garden,Household Supplies,Household Supplies,19.41
10098,SSF BLOW OUT RELAX 6x250ML,153.48355555555554,21.52,172.0,29.787617150571418,93351.0,12608066.99,713,52,Sta-sof-fro,M&M Cosmetics Ltd,Red101 Market/Home & Garden/Household Supplies,M&M Products Company,Home & Garden,Household Supplies,Household Supplies,19.41
10098,SSF BLOW OUT RELAX 6x250ML,153.48355555555554,21.52,172.0,29.787617150571418,93351.0,12608066.99,713,52,Sta-sof-fro,M&M Cosmetics Ltd,Red101 Market/Home & Garden/Household Supplies,M&M Products Company,Home & Garden,Household Supplies,Household Supplies,19.41
10099,STYLIN DREDZ MOULDING GEL WAX 6x125ML,135.80248081841432,20.22,160.0,47.4212900767968,47469.0,4538140.9,370,50,Stylin,M&M Cosmetics Ltd,Red101 Market/Home & Garden/Household Supplies,M&M Products Company,Home & Garden,Household Supplies,Household Supplies,34.92
10099,STYLIN DREDZ MOULDING GEL WAX 6x125ML,135.80248081841432,20.22,160.0,47.4212900767968,47469.0,4538140.9,370,50,Stylin,M&M Cosmetics Ltd,Red101 Market/Home & Garden/Household Supplies,M&M Products Company,Home & Garden,Household Supplies,Household Supplies,34.92
10100,STYLIN DREDZ MOULDING GEL WAX 6x250ML,172.76,34.36,263.4,69.268616846201,169526.0,22937389.16,736,50,Unbranded,Unknown,Red101 Market/Hardware,Unknown,Hardware,Hardware,Hardware,40.1
10100,STYLIN DREDZ MOULDING GEL WAX 6x250ML,172.76,34.36,263.4,69.268616846201,169526.0,22937389.16,736,50,Unbranded,Unknown,Red101 Market/Hardware,Unknown,Hardware,Hardware,Hardware,40.1
10100,STYLIN DREDZ MOULDING GEL WAX 6x250ML,172.76,34.36,263.4,69.268616846201,169526.0,22937389.16,736,50,Unbranded,Unknown,Red101 Market/Hardware,Unknown,Hardware,Hardware,Hardware,40.1
10101,MPL MEDITATED HAIR OIL TWIN PACK 24X1,895.0,895.0,895.0,0.0,7.0,6265.0,3,2,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0
10102,EASY WAVES HAIR FOOD TREATMENT 6x125ML,81.53787878787878,76.0,88.0,3.8515772737103133,4041.0,326526.75,95,29,Easy Waves,M&M Cosmetics Ltd,Red101 Market/Home & Garden/Household Supplies,M&M Products Company,Home & Garden,Household Supplies,Household Supplies,4.72
10102,EASY WAVES HAIR FOOD TREATMENT 6x125ML,81.53787878787878,76.0,88.0,3.8515772737103133,4041.0,326526.75,95,29,Easy Waves,M&M Cosmetics Ltd,Red101 Market/Home & Garden/Household Supplies,M&M Products Company,Home & Garden,Household Supplies,Household Supplies,4.72
10103,PLAYBOY ROLL-ON VIP IBIZA 6x50ML,71.44811188811188,9.52,79.99,13.225972203640408,68940.0,4332942.14,956,52,Playboy,AMKA,Red101 Market/Toiletries/Personal Care/Deodorants & Anti-Perspirants,Amka Products Pty Ltd,Toiletries,Personal Care,Deodorants & Anti-Perspirants,18.51
10103,PLAYBOY ROLL-ON VIP IBIZA 6x50ML,71.44811188811188,9.52,79.99,13.225972203640408,68940.0,4332942.14,956,52,Playboy,AMKA,Red101 Market/Toiletries/Personal Care/Deodorants & Anti-Perspirants,Amka Products Pty Ltd,Toiletries,Personal Care,Deodorants & Anti-Perspirants,18.51
10104,PLAYGIRL ROLL-ON SEDUCTION 6x50ML,72.04125111706881,9.78,79.99,10.922652040256468,61024.0,4379541.94,1045,53,Playgirl,AMKA,Red101 Market/Toiletries/Personal Care/Deodorants & Anti-Perspirants,Amka Products Pty Ltd,Toiletries,Personal Care,Deodorants & Anti-Perspirants,15.16
10104,PLAYGIRL ROLL-ON SEDUCTION 6x50ML,72.04125111706881,9.78,79.99,10.922652040256468,61024.0,4379541.94,1045,53,Playgirl,AMKA,Red101 Market/Toiletries/Personal Care/Deodorants & Anti-Perspirants,Amka Products Pty Ltd,Toiletries,Personal Care,Deodorants & Anti-Perspirants,15.16
10105,PLAYGIRL ROLL-ON LOVE IS 6x50ML,71.79191798107256,9.78,85.99000000000001,12.113015877239581,122255.4,7737233.03,1458,54,Playgirl,AMKA,Red101 Market/Toiletries/Personal Care/Deodorants & Anti-Perspirants,Amka Products Pty Ltd,Toiletries,Personal Care,Deodorants & Anti-Perspirants,16.87
10106,PLAYGIRL ROLL-ON TEMPTATION 6x50ML,71.93111012433391,9.52,85.99,12.200531693781745,78823.0,4893033.71,1038,54,Playgirl,AMKA,Red101 Market/Toiletries/Personal Care/Deodorants & Anti-Perspirants,Amka Products Pty Ltd,Toiletries,Personal Care,Deodorants & Anti-Perspirants,16.96
10107,KISSKID DIAPERS 100PCS,201.68709825528006,27.65,480.0,70.41586671438702,102709.0,18620330.23,1030,53,Amazon,Trade Kings SA,Red101 Market/Food/Sweets & Chocolate,Trade Kings Group,Food,Sweets & Chocolate,Sweets & Chocolate,34.91
10107,KISSKID DIAPERS 100PCS,201.68709825528006,27.65,480.0,70.41586671438702,102709.0,18620330.23,1030,53,Amazon,Trade Kings SA,Red101 Market/Food/Sweets & Chocolate,Trade Kings Group,Food,Sweets & Chocolate,Sweets & Chocolate,34.91
10107,KISSKID DIAPERS 100PCS,201.68709825528006,27.65,480.0,70.41586671438702,102709.0,18620330.23,1030,53,Amazon,Trade Kings SA,Red101 Market/Food/Sweets & Chocolate,Trade Kings Group,Food,Sweets & Chocolate,Sweets & Chocolate,34.91
10108,AMAZON FRUIT BAR TROPICAL 6X50'S,201.38954792043398,27.2,480.0,64.48661176827326,95037.0,17418091.71,1051,53,Amazon,Trade Kings SA,Red101 Market/Food/Sweets & Chocolate,Trade Kings Group,Food,Sweets & Chocolate,Sweets & Chocolate,32.02
10108,AMAZON FRUIT BAR TROPICAL 6X50'S,201.38954792043398,27.2,480.0,64.48661176827326,95037.0,17418091.71,1051,53,Amazon,Trade Kings SA,Red101 Market/Food/Sweets & Chocolate,Trade Kings Group,Food,Sweets & Chocolate,Sweets & Chocolate,32.02
10108,AMAZON FRUIT BAR TROPICAL 6X50'S,201.38954792043398,27.2,480.0,64.48661176827326,95037.0,17418091.71,1051,53,Amazon,Trade Kings SA,Red101 Market/Food/Sweets & Chocolate,Trade Kings Group,Food,Sweets & Chocolate,Sweets & Chocolate,32.02
10109,CABLE GPW 1.5mm WHITE 100M COIL,430.5405405405405,420.0,450.0,14.360639508654629,3296.0,1408500.0,185,35,Playboy,AMKA,Red101 Market/Toiletries/Personal Care/Deodorants & Anti-Perspirants,Amka Products Pty Ltd,Toiletries,Personal Care,Deodorants & Anti-Perspirants,3.34
10110,CLERE B/CRM COCOA BUTTER 6X300ML,147.21702521008405,15.39,650.0,125.84706350264915,183091.8,21108968.68,2244,54,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,85.48
