category_l1,date,period,quantity,revenue,num_orders,num_customers
Baby and Toddler,2025-10-23,H2,21226,4173383.73,35,35
Baby and Toddler,2025-10-24,H2,14949,2375113.55,41,41
Baby and Toddler,2025-10-25,H2,31586,4738207.3,39,34
Baby and Toddler,2025-10-27,H2,11751,2229168.95,25,24
Baby and Toddler,2025-10-28,H2,16784,3414248.75,27,27
Baby and Toddler,2025-10-29,H2,25854,4288040.61,35,34
Baby and Toddler,2025-10-30,H2,28067,4391148.23,41,37
Baby and Toddler,2025-10-31,H2,40626,6367383.87,50,46
Baby and Toddler,2025-11-01,H2,24789,3160311.05,45,43
Baby and Toddler,2025-11-03,H2,29175,2251792.61,46,44
Baby and Toddler,2025-11-04,H2,26070,2229789.65,39,39
Baby and Toddler,2025-11-05,H2,22652,2305052.56,38,38
Baby and Toddler,2025-11-06,H2,29565,2534535.12,47,46
Baby and Toddler,2025-11-07,H2,26692,3056467.24,41,40
Baby and Toddler,2025-11-08,H2,15942,1618248.62,22,20
Baby and Toddler,2025-11-10,H2,24170,3194528.16,35,35
Baby and Toddler,2025-11-11,H2,12659,2243038.05,28,28
Baby and Toddler,2025-11-12,H2,32336,4478460.74,29,28
Baby and Toddler,2025-11-13,H2,33399,2473036.4,54,48
Baby and Toddler,2025-11-14,H2,11685,2946484.25,24,24
Baby and Toddler,2025-11-15,H2,39748,2402085.81,71,59
Baby and Toddler,2025-11-17,H2,54700,3524533.5300000003,74,60
Baby and Toddler,2025-11-18,H2,71236,3719604.49,90,63
Baby and Toddler,2025-11-19,H2,67133,3042499.0,76,60
Baby and Toddler,2025-11-20,H2,83807,3095689.36,98,81
Baby and Toddler,2025-11-21,H2,157078,6451869.25,140,97
Baby and Toddler,2025-11-22,H2,68005,2779542.73,59,52
Baby and Toddler,2025-11-24,H2,43409,1709933.33,56,50
Baby and Toddler,2025-11-25,H2,23119,2390692.09,47,44
Baby and Toddler,2025-11-26,H2,49761,2580001.73,59,53
Baby and Toddler,2025-11-27,H2,74529,4772190.28,61,54
Baby and Toddler,2025-11-28,H2,27377,2839872.87,31,31
Baby and Toddler,2025-11-29,H2,18121,1067005.12,24,24
Baby and Toddler,2025-12-01,H2,27178,4548605.28,59,56
Baby and Toddler,2025-12-02,H2,19551,3767561.7,39,39
Baby and Toddler,2025-12-03,H2,22217,4369469.84,44,42
Baby and Toddler,2025-12-04,H2,10412,1977296.2,28,28
Baby and Toddler,2025-12-05,H2,29990,5365865.53,52,50
Baby and Toddler,2025-12-06,H2,14699,2444718.23,29,29
Baby and Toddler,2025-12-08,H2,26140,4963161.48,55,50
Baby and Toddler,2025-12-09,H2,15773,3615845.08,60,58
Baby and Toddler,2025-12-10,H2,22764,3921257.39,43,43
Baby and Toddler,2025-12-11,H2,23598,5460238.47,57,55
Baby and Toddler,2025-12-12,H2,24257,4190329.42,46,45
Baby and Toddler,2025-12-13,H2,8430,1510535.56,36,36
Baby and Toddler,2025-12-15,H2,30037,5458936.92,66,60
Baby and Toddler,2025-12-16,H2,29597,4861283.24,55,55
Baby and Toddler,2025-12-17,H2,23764,4206785.08,58,58
Baby and Toddler,2025-12-18,H2,34276,6883020.33,68,64
Baby and Toddler,2025-12-19,H2,36146,6229092.3,90,80
Baby and Toddler,2025-12-20,H2,14662,2757125.01,64,64
Baby and Toddler,2025-12-22,H2,16356,2932183.5,29,29
Baby and Toddler,2025-12-23,H2,4,12150.0,1,1
Beverages,2025-06-30,H2,1704,148296.0,2,2
Beverages,2025-07-01,H2,12,1056.0,1,1
Beverages,2025-07-03,H2,494,88635.4,2,2
Beverages,2025-07-04,H2,492,88272.0,2,2
Beverages,2025-07-07,H2,1312,226956.0,3,3
Beverages,2025-07-08,H2,12,1056.0,1,1
Beverages,2025-07-09,H2,4845,847972.0,9,9
Beverages,2025-07-10,H2,2585,447640.0,5,5
Beverages,2025-07-11,H2,440,74496.0,3,3
Beverages,2025-07-14,H2,492,88272.0,2,2
Beverages,2025-07-15,H2,480,87216.0,1,1
Beverages,2025-07-16,H2,492,88272.0,2,2
Beverages,2025-07-17,H2,1311,225448.0,6,6
Beverages,2025-07-18,H2,36,3168.0,3,3
Beverages,2025-07-21,H2,2885,499251.0,7,7
Beverages,2025-07-22,H2,36,3168.0,3,3
Beverages,2025-07-23,H2,1281,222808.0,2,2
Beverages,2025-07-24,H2,38,3344.0,5,5
Beverages,2025-07-25,H2,3259,571462.7,5,5
Beverages,2025-07-26,H2,1537,267352.0,4,4
Beverages,2025-07-28,H2,4772,835113.3,10,10
Beverages,2025-07-29,H2,1294,223952.0,4,4
Beverages,2025-07-30,H2,1588,275355.5,6,6
Beverages,2025-07-31,H2,673,118910.9,4,4
Beverages,2025-08-01,H2,24,2112.0,1,1
Beverages,2025-08-02,H2,60,5256.0,3,3
Beverages,2025-08-04,H2,12,1032.0,1,1
Beverages,2025-08-05,H2,71,8709.0,3,3
Beverages,2025-08-06,H2,48,4224.0,2,2
Beverages,2025-08-07,H2,511,90441.0,3,3
Beverages,2025-08-08,H2,3980,675188.0,14,14
Beverages,2025-08-09,H2,5374,931502.0,12,12
Beverages,2025-08-11,H2,6208,1062127.25,32,31
Beverages,2025-08-12,H2,5064,879363.6,16,16
Beverages,2025-08-13,H2,1330,230954.5,8,8
Beverages,2025-08-14,H2,2036,351905.05,11,11
Beverages,2025-08-15,H2,1466,254570.90000000002,10,10
Beverages,2025-08-16,H2,4014,697031.1,9,8
Beverages,2025-08-18,H2,1649,286348.85,12,12
Beverages,2025-08-19,H2,1286,223227.25,8,8
Beverages,2025-08-20,H2,2152,372991.6,12,11
Beverages,2025-08-21,H2,2328,404257.2,11,11
Beverages,2025-08-22,H2,2961,512704.6,10,10
Beverages,2025-08-23,H2,481,82225.9,11,10
Beverages,2025-08-25,H2,756,129979.65,12,12
Beverages,2025-08-26,H2,903,156805.95,8,8
Beverages,2025-08-27,H2,2036,352078.35,10,10
Beverages,2025-08-28,H2,425,71808.3,6,6
Beverages,2025-08-29,H2,2747,475716.8,17,17
Beverages,2025-08-30,H2,633,109920.45,6,6
Beverages,2025-09-01,H2,29,2471.0,3,3
Beverages,2025-09-02,H2,63,8995.0,4,4
Beverages,2025-09-03,H2,3901,651321.8,5,5
Beverages,2025-09-04,H2,151,12891.0,13,12
Beverages,2025-09-05,H2,5853,999441.95,9,8
Beverages,2025-09-06,H2,18,1530.0,1,1
Beverages,2025-09-09,H2,4003,675078.6,9,9
Beverages,2025-09-10,H2,9422,1634753.05,11,11
Beverages,2025-09-11,H2,8701,1510389.3,8,8
Beverages,2025-09-12,H2,2720,472328.0,1,1
