sku,description,category,year_week,period,quantity,revenue,num_orders,num_customers,date
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W05,H1,100,125000.0,1,1,2025-02-01
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W06,H1,2025,2521250.0,29,16,2025-02-03
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W07,H1,2690,3357500.0,39,23,2025-02-10
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W08,H1,1600,2000000.0,25,17,2025-02-17
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W09,H1,1635,2043750.0,25,14,2025-02-24
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W23,H1,1770,2212500.0,21,17,2025-06-02
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W24,H1,1605,2006250.0,25,16,2025-06-09
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W25,H1,2440,3050000.0,40,16,2025-06-16
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W26,H1,1605,2031250.0,42,23,2025-06-23
10002,FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W09,H1,40,50000.0,1,1,2025-02-26
10002,FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W25,H1,40,50000.0,1,1,2025-06-16
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-W05,H1,50,32500.0,1,1,2025-02-01
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-W06,H1,140,91000.0,11,8,2025-02-03
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-W07,H1,150,93250.0,10,9,2025-02-10
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-W08,H1,90,56300.0,9,6,2025-02-17
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-W09,H1,100,63000.0,5,4,2025-02-26
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-W23,H1,90,56250.0,5,4,2025-06-03
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-W24,H1,60,37500.0,6,6,2025-06-09
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-W25,H1,250,156000.0,12,9,2025-06-16
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-W26,H1,90,55600.0,8,7,2025-06-23
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-W05,H1,50,22500.0,1,1,2025-02-01
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-W06,H1,160,72000.0,10,7,2025-02-03
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-W07,H1,170,71400.0,9,8,2025-02-10
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-W08,H1,180,75600.0,8,6,2025-02-19
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-W09,H1,80,33600.0,4,4,2025-02-24
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-W23,H1,140,58800.0,6,4,2025-06-03
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-W24,H1,220,92400.0,8,7,2025-06-09
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-W25,H1,211,88620.0,10,8,2025-06-18
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-W26,H1,180,75600.0,13,9,2025-06-23
10004,GPW 1.5mm RED 100M COIL,Hardware,2025-W09,H1,10,4200.0,1,1,2025-02-26
10004,GPW 1.5mm RED 100M COIL,Hardware,2025-W25,H1,10,4200.0,1,1,2025-06-16
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-W05,H1,55,35750.0,2,2,2025-02-01
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-W06,H1,171,111150.0,12,8,2025-02-03
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-W07,H1,120,74650.0,8,8,2025-02-10
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-W08,H1,80,49900.0,8,5,2025-02-17
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-W09,H1,140,88000.0,6,6,2025-02-24
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-W23,H1,90,56250.0,5,4,2025-06-03
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-W24,H1,120,74700.0,8,7,2025-06-10
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-W25,H1,230,143600.0,11,8,2025-06-16
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-W26,H1,101,62220.0,10,9,2025-06-23
