customer_id,customer_name,primary_region,total_orders,total_units,total_revenue,avg_order_value,avg_days_between_orders,cycle_regularity,buyer_type,customer_segment,first_order,last_order,active_weeks
3,AL-AMIIN GENERAL DEALER,Gauteng,24,5752.0,1382530.07,57605.419583333336,14.434782608695652,Sporadic,High-Value Buyer,Small Retailer,2025-01-21,2025-12-19,20
25,ADVANCE WAREHOUSING (PTY) LTD,Gauteng,116,89333.0,11779032.95,101543.3875,5.688524590163935,Monthly,High-Value Buyer,Medium Retailer,2025-01-09,2025-12-22,30
548,MOM ZAHRA WHOLESALE AND RETAIL (PTY) LTD,Gauteng,13,2933.0,630044.97,48464.99769230769,29.363636363636363,Irregular,Regular Buyer,Small Retailer,2025-01-30,2025-12-19,10
156,KLIPGAT WHOLESALER,Gauteng,36,21678.0,2710916.1399999997,75303.2261111111,9.617647058823529,Monthly,High-Value Buyer,Medium Retailer,2025-01-27,2025-12-20,23
463,KHATELENI SUPERMARKET,Gauteng,17,3066.0,450800.12,26517.65411764706,22.8,Irregular,Regular Buyer,Small Retailer,2025-01-10,2025-12-18,13
358,RAINBOW BARGAIN STORE,Polokwane,83,62290.0,12629626.04,152164.1691566265,4.35,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-06,2025-12-20,42
378,WIPE IT CC,Gauteng,41,64483.0,7049392.58,171936.4043902439,8.435897435897436,Sporadic,High-Value Buyer,Medium Retailer,2025-01-23,2025-12-18,27
651,HIPPIE HEALTH,Gauteng,14,3225.0,546145.3300000001,39010.38071428572,28.083333333333332,Irregular,Regular Buyer,Small Retailer,2025-01-17,2025-12-20,12
135,AL MADAR GENERAL TRADING,Gauteng,31,18173.0,3319203.9000000004,107071.09354838711,11.2,Monthly,High-Value Buyer,Medium Retailer,2025-01-18,2025-12-20,23
174,GOOD PRICE SUPERMARKET,Gauteng,87,83625.0,16070991.049999999,184724.03505747125,4.9411764705882355,Monthly,High-Value Buyer,Medium Retailer,2025-01-18,2025-12-20,34
575,TODAY'S HOPE TRADING AND PROJECTS,Gauteng,31,16053.0,3447846.67,111220.86032258064,12.321428571428571,Sporadic,High-Value Buyer,Medium Retailer,2025-01-08,2025-12-19,23
539,FREEDOM CASH AND CARY,Gauteng,46,48367.0,9240013.86,200869.8665217391,8.142857142857142,Monthly,High-Value Buyer,Medium Retailer,2025-01-11,2025-12-19,31
545,WORLD BLOOM (PTY) LTD,Gauteng,73,96772.0,13405361.530000001,183635.08945205482,5.666666666666667,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-13,2025-12-19,39
431,SULTAN M TRADING,Polokwane,84,83983.0,23338370.570092306,277837.74488205125,4.435897435897436,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-10,2025-12-22,46
392,ABC SWEETS,Gauteng,36,11810.0,2622753.98,72854.27722222223,13.52,Sporadic,High-Value Buyer,Small Retailer,2025-01-15,2025-12-19,20
527,RAYAN INTERNATIONAL TRADING CC,Gauteng,26,19716.0,2517906.6399999997,96842.56307692306,14.91304347826087,Sporadic,High-Value Buyer,Medium Retailer,2025-01-10,2025-12-19,21
470,NUURADIN TRADING LTD T/A ZAMA ZAMA SUPERSTORE,Gauteng,41,38736.0,6304736.58,153774.06292682927,9.166666666666666,Monthly,High-Value Buyer,Medium Retailer,2025-01-22,2025-12-18,27
397,BIG SAVE WATLOO (PTY) LTD,Gauteng,48,43476.0,5990392.34,124799.84041666666,7.659090909090909,Monthly,High-Value Buyer,Medium Retailer,2025-01-16,2025-12-19,31
166,SUNRISE SUPERMARKET,Gauteng,20,10974.0,1481478.21,74073.9105,19.11111111111111,Irregular,High-Value Buyer,Medium Retailer,2025-01-10,2025-12-20,16
661,LAKIMI CC TA BROTHERS CASH AND CARRY,Gauteng,21,10444.0,2089595.6400000001,99504.55428571429,16.5,Sporadic,High-Value Buyer,Small Retailer,2025-01-24,2025-12-20,18
356,RAZA BROADWAY SUPERMARKET,Gauteng,22,8449.0,1497231.1,68055.95909090909,12.6,Sporadic,High-Value Buyer,Small Retailer,2025-04-12,2025-12-20,12
143,SAVEMORE SPAR SUPERMARKET,Gauteng,30,13756.0,2781629.1899999995,92720.97299999998,11.931034482758621,Sporadic,High-Value Buyer,Small Retailer,2025-01-08,2025-12-20,22
382,ALI SUPERMARKET RABASUTU,Gauteng,22,9021.0,1681029.68,76410.44,17.15,Sporadic,High-Value Buyer,Small Retailer,2025-01-10,2025-12-19,16
464,DISCOUNT CASH N CARRY,Gauteng,30,22901.0,4374888.65,145829.62166666667,12.76923076923077,Sporadic,High-Value Buyer,Medium Retailer,2025-01-20,2025-12-18,22
416,A ONE WHOLESALERS MAKHADO,Gauteng,61,27754.0,5956581.27,97648.87327868852,6.444444444444445,Monthly,High-Value Buyer,Small Retailer,2025-01-08,2025-12-22,31
150,MUHAMEDIA STORE,Hardware,58,27794.0,7290030.32,125690.17793103449,6.549019607843137,Monthly,High-Value Buyer,Small Retailer,2025-01-20,2025-12-20,28
614,SUNCITY SUPERMARKET,Gauteng,14,3049.0,388582.05,27755.860714285714,19.384615384615383,Sporadic,Regular Buyer,Small Retailer,2025-04-12,2025-12-20,11
66,MAKGATHO WHOLE SALERS,Gauteng,84,116994.0,10325508.59,122922.72130952381,5.583333333333333,Monthly,Bulk Buyer,Bulk/Wholesale,2025-01-21,2025-12-22,33
211,SOM SUPER STORE,Gauteng,48,37652.0,5665125.109999999,118023.43979166665,8.615384615384615,Monthly,High-Value Buyer,Medium Retailer,2025-01-18,2025-12-20,29
56,REIN SUPPLIES,Gauteng,26,33037.0,8365274.49,321741.32653846155,13.75,Monthly,High-Value Buyer,Medium Retailer,2025-01-24,2025-12-20,21
578,HOME SWEET WHOLESALER,Gauteng,18,4622.0,918332.4800000001,51018.47111111112,21.0,Sporadic,High-Value Buyer,Small Retailer,2025-01-17,2025-12-19,15
17,FOOD BAZAAR CASH N CARRY (PTY) LTD,Gauteng,23,12358.0,2114934.52,91953.6747826087,16.047619047619047,Sporadic,High-Value Buyer,Medium Retailer,2025-01-17,2025-12-20,18
446,UNIMAART-MAMELODI,Gauteng,13,5798.0,1022696.5000000001,78668.96153846155,27.333333333333332,Sporadic,High-Value Buyer,Small Retailer,2025-01-24,2025-12-18,12
7,SOWETO CASH N CARRY,Gauteng,41,33928.0,5782334.359999999,141032.54536585364,8.789473684210526,Monthly,High-Value Buyer,Medium Retailer,2025-01-20,2025-12-20,27
552,SALEH SWEETS (PTY) LTD,Gauteng,19,11196.0,2114393.6,111283.87368421053,19.705882352941178,Irregular,High-Value Buyer,Medium Retailer,2025-01-18,2025-12-19,16
86,OLIFAN CASH & CARRY,Gauteng,47,55445.0,8308123.350000001,176768.58191489364,7.478260869565218,Monthly,High-Value Buyer,Medium Retailer,2025-01-10,2025-12-20,32
599,NASRI ELECTRONIC & PLASTIC WHOLESALER,Gauteng,11,1352.0,236408.35000000003,21491.668181818186,36.55555555555556,Irregular,Regular Buyer,Small Retailer,2025-01-24,2025-12-19,9
534,AK SWEETS,Gauteng,11,3590.0,666847.6399999999,60622.51272727272,27.666666666666668,Irregular,High-Value Buyer,Small Retailer,2025-04-14,2025-12-19,9
455,MARVELOUS WHOLESALERS,Gauteng,19,7340.0,1540421.17,81074.79842105263,19.0,Sporadic,High-Value Buyer,Small Retailer,2025-01-10,2025-12-18,15
360,SHORTY VIEW SHOP,Polokwane,81,60337.0,13618717.095169231,168132.3098169041,4.957142857142857,Monthly,High-Value Buyer,Medium Retailer,2025-01-09,2025-12-22,37
354,MAKANYE CASH & CARRY MANKWENG,Polokwane,90,171267.0,31097845.035107695,345531.61150119663,4.035714285714286,Bi-weekly,Bulk Buyer,Bulk/Wholesale,2025-01-17,2025-12-22,44
403,THE OBSTACLE DEN TRADING,Gauteng,61,55985.0,11302102.36,185280.36655737704,6.857142857142857,Monthly,High-Value Buyer,Medium Retailer,2025-01-17,2025-12-19,32
368,CHEEKO INVESTMENTS,Polokwane,57,52486.0,10472685.469999999,183731.3240350877,6.653846153846154,Monthly,High-Value Buyer,Medium Retailer,2025-01-07,2025-12-19,33
