customer_id,customer_name,primary_region,total_orders,total_units,total_revenue,avg_order_value,avg_days_between_orders,cycle_regularity,buyer_type,top_skus,first_order,last_order,active_weeks,customer_segment
422,SCORE ONE TRADING (HYPERSTAR CASH & CARRY),Gauteng,209,283799.0,48890218.66916069,233924.4912400033,2.388888888888889,Weekly,Bulk Buyer,"11119,10679,11081,11184,10218",2025-01-09,2025-12-19,48,Bulk/Wholesale
457,TRIPPLE D WHOLESALERS,Gauteng,73,139059.0,16148995.5,221219.11643835617,5.45,Monthly,Bulk Buyer,"11119,11480,11755,11158,10156",2025-01-25,2025-12-18,33,Bulk/Wholesale
591,USIMAKADE (PTY)LTD,Gauteng,227,689672.0,82168725.97,361976.7663876652,2.4225352112676055,Weekly,Bulk Buyer,"11119,10678,11151,10675,10679",2025-01-09,2025-12-19,48,Bulk/Wholesale
611,SAAS DIAPERS,Gauteng,68,78072.0,11142925.86,163866.55676470586,5.672131147540983,Bi-weekly,High-Value Buyer,"11119,11755,10047,10659,11669",2025-01-08,2025-12-20,42,Medium Retailer
349,HASAN OROMO SUPERMARKET,Gauteng,34,12888.0,3174707.0900000003,93373.73794117649,12.357142857142858,Sporadic,High-Value Buyer,"10675,10965,11348,10500,10051",2025-01-08,2025-12-20,15,Small Retailer
171,SA TRADING WHOLESALER,Hardware,148,193344.0,26975767.340000004,182268.69824324327,3.75,Bi-weekly,Bulk Buyer,"12130,12064,11119,10675,11158",2025-01-09,2025-12-20,36,Bulk/Wholesale
659,AYEZA ENTERPRISES LIMITED,Gauteng,29,26616.0,4400839.67,151753.09206896552,12.25925925925926,Monthly,High-Value Buyer,"10051,10048,11184,11270,11271",2025-01-23,2025-12-20,24,Medium Retailer
573,AMBICOR 121,Gauteng,328,956606.0,106610121.05,325030.8568597561,1.9942196531791907,Weekly,Bulk Buyer,"11119,10679,10675,11081,11487",2025-01-08,2025-12-19,49,Bulk/Wholesale
14,ABC SUPER MARKET,Gauteng,21,13780.0,1963645.76,93506.94095238096,17.94736842105263,Sporadic,High-Value Buyer,"11313,10067,10541,10244,10528",2025-01-13,2025-12-20,17,Medium Retailer
633,CONTACTS TRADING CC,Gauteng,50,69667.0,11949582.55,238991.651,7.521739130434782,Monthly,High-Value Buyer,"10048,10051,10678,11755,10611",2025-01-08,2025-12-20,36,Medium Retailer
112,TANAAT CASH AND CARRY,Gauteng,76,93970.0,11352664.3,149377.16184210527,5.1875,Bi-weekly,High-Value Buyer,"11119,11514,12064,10051,10432",2025-01-22,2025-12-20,37,Medium Retailer
13,PINKY'S SUPER MARKET AND WHOLESALE,Gauteng,35,17072.0,4190643.48,119732.67085714286,10.75,Sporadic,High-Value Buyer,"11431,10447,10047,11065,10659",2025-01-10,2025-12-20,23,Small Retailer
209,QUSWAH TRADING (LENS),Gauteng,168,446914.0,48466244.99,288489.5535119048,2.965217391304348,Weekly,Bulk Buyer,"11119,10675,11755,10679,10541",2025-01-13,2025-12-20,48,Bulk/Wholesale
622,MORE 4 LESS TRADING,Gauteng,101,162037.0,18629200.79,184447.5325742574,4.195121951219512,Bi-weekly,Bulk Buyer,"10675,11119,10541,11755,10432",2025-01-10,2025-12-20,43,Bulk/Wholesale
500,CHISIPITI GLOBAL PTY LTD,Gauteng,19,17935.0,3639113.38,191532.28315789474,18.61111111111111,Sporadic,High-Value Buyer,"11348,10048,10218,10956,10263",2025-01-17,2025-12-18,17,Medium Retailer
536,ORION CASH AMD CARRY,Gauteng,23,22237.0,3775691.4299999997,164160.49695652173,15.714285714285714,Sporadic,High-Value Buyer,"11119,10447,10678,11505,10074",2025-01-23,2025-12-19,20,Medium Retailer
355,CENTRAL HIGH TRADING 376CC,Gauteng,137,118101.0,24792057.88,180963.92613138686,2.9243697478991595,Weekly,Bulk Buyer,"10541,10263,10794,10032,10754",2025-01-06,2025-12-20,47,Bulk/Wholesale
563,R5 SHOP,Gauteng,19,16775.0,3269420.71,172074.77421052632,21.4375,Irregular,High-Value Buyer,"11311,11270,11271,11480,11481",2025-01-10,2025-12-19,14,Medium Retailer
41,FAYO FOODS,Gauteng,12,3247.0,408913.04,34076.08666666666,30.272727272727273,Irregular,Regular Buyer,"10396,10059,10154,10399,10441",2025-01-21,2025-12-20,10,Small Retailer
169,JUEUL ENTERPRIZE (SILAAM),Gauteng,33,31810.0,4414982.38,133787.34484848485,10.774193548387096,Monthly,High-Value Buyer,"12130,11119,11755,11311,10541",2025-01-20,2025-12-20,23,Medium Retailer
